FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;1.854442598
Instances/ap.mod ;;2;-0.3523860738
Instances/bf1.mod ;;2;0
Instances/bf2.mod ;;2;0
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;0
Instances/bp.mod ;;2;0.3981965768
Instances/cb3.mod ;;2;3.809617915e-57
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51834
Instances/em_10.mod ;;10;-6.294738808
Instances/em_5.mod ;;5;-3.47773594
Instances/ep.mod ;;2;-1
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;65.67594123
Instances/fx_10.mod ;;10;-0.862724466
Instances/fx_5.mod ;;5;-1.80402905
Instances/gp.mod ;;2;3
Instances/gw.mod ;;10;26.92951216
Instances/h3.mod ;;3;-3.825178218
Instances/h6.mod ;;6;-3.322357993
Instances/hm1.mod ;<BREAK>

Instances/hm2.mod ;<BREAK>

Instances/hm3.mod ;<BREAK>

Instances/hm4.mod ;;2;0
Instances/hm5.mod ;;3;5.417674795e-45
Instances/hm.mod ;;2;4.651012242e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;0.2764175043
Instances/ir0.mod ;;4;24.60375
Instances/ir1.mod ;;3;3.958767732e-35
Instances/ir2.mod ;;2;0
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 1921567552;
;30;0.959767028
Instances/ir5.mod ;;2;0.001996007983
Instances/kl.mod ;;4;0.000309824828
Instances/ks.mod ;<BREAK>

Instances/lm1.mod ;;3;0.001242491349
Instances/lm2_10.mod ;;10;0.2355593153
Instances/lm2_5.mod ;;5;0.04484519727
Instances/lv8.mod ;;3;0.892332345
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;0.0001215566169
Instances/mgp.mod ;;2;2.487272292e-09
Instances/mgw_10.mod ;;10;0.0465148659
Instances/mgw_20.mod ;;20;0.3744055381
Instances/mgw_2.mod ;;2;0.01558280266
Instances/ml_10.mod ;;10;-1.897654706e-22
Instances/ml_5.mod ;;5;-0.3844735859
Instances/mr.mod ;;3;0.04891999892
Instances/mrp.mod ;;2;1.232595164e-32
Instances/nf2.mod ;;4;9.764909034e-06
Instances/nf3_10.mod ;;10;250.9359147
Instances/nf3_15.mod ;;15;19218.15457
Instances/nf3_20.mod ;;20;195837.6736
Instances/nf3_25.mod ;;25;332608.0172
Instances/nf3_30.mod ;;30;555233.5914
Instances/osp_10.mod ;;10;-3.6920533e-10
Instances/osp_20.mod ;;20;-6.696277597e-28
Instances/prd.mod ;;2;0.9
Instances/ptm.mod ;;9;175.0892119
Instances/pwq.mod ;;4;1.576015778e-08
Instances/rb.mod ;;10;355264.5118
Instances/rg_10.mod ;;10;9.430998725
Instances/rg_2.mod ;;2;0
Instances/s10.mod ;;4;-2.806630721
Instances/s5.mod ;;4;-10.15319968
Instances/s7.mod ;;4;-2.765897328
Instances/sal_10.mod ;;10;2.699934535
Instances/sal_5.mod ;;5;0.4998742063
Instances/sbt.mod ;;2;-186.7309088
Instances/sf1.mod ;;2;0.07819242766
Instances/shv1.mod ;<BREAK>

Instances/shv2.mod ;;2;-1.776356839e-15
Instances/sin_10.mod ;;10;-0.6433013684
Instances/sin_20.mod ;;20;-0.518944328
Instances/st_17.mod ;;17;244715786.6
Instances/st_9.mod ;;9;4441.553549
Instances/stg.mod ;<BREAK>

Instances/swf.mod ;;10;-2540.26437
Instances/sz.mod ;<BREAK>

Instances/szzs.mod ;<BREAK>

Instances/wf.mod ;;4;1.041678862
Instances/xor.mod ;;9;0.8679129324
Instances/zkv_10.mod ;;10;20.49143791
Instances/zkv_20.mod ;;20;382.4696326
Instances/zkv_2.mod ;;2;1.298082501e-55
Instances/zkv_5.mod ;;5;8.808461635e-05
Instances/zlk1.mod ;<BREAK>

Instances/zlk2a.mod ;<BREAK>

Instances/zlk2b.mod ;<BREAK>

Instances/zlk3a.mod ;<BREAK>

Instances/zlk3b.mod ;<BREAK>

Instances/zlk3c.mod ;<BREAK>

Instances/zlk4.mod ;;2;0.3981969296
Instances/zlk5.mod ;;3;-3.825178218
Instances/zzs.mod ;<BREAK>

