FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;2.351945289
Instances/ap.mod ;;2;-0.3523860738
Instances/bf1.mod ;;2;3.091527034e-12
Instances/bf2.mod ;;2;2.808897559e-11
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;1.10973849e-08
Instances/bp.mod ;;2;0.3978873577
Instances/cb3.mod ;;2;1.824996874e-15
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51831
Instances/em_10.mod ;;10;-3.679479693
Instances/em_5.mod ;;5;-4.086356776
Instances/ep.mod ;;2;-1
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;2.897513376e-20
Instances/fx_10.mod ;;10;-0.6691338558
Instances/fx_5.mod ;;5;-1.822975316
Instances/gp.mod ;;2;3
Instances/gw.mod ;;10;5.108604798
Instances/h3.mod ;;3;-3.862782147
Instances/h6.mod ;;6;-3.23037833
Instances/hm1.mod ;;1;1.554461507e-24
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;2.219057805e-14
Instances/hm5.mod ;;3;9.877433106e-12
Instances/hm.mod ;;2;4.651012553e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;1.198694734e-07
Instances/ir0.mod ;;4;192.3928485
Instances/ir1.mod ;;3;1.03572393e-09
Instances/ir2.mod ;;2;5.100464836e-11
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 759404625;
;30;2.094338121
Instances/ir5.mod ;;2;0.001996007983
Instances/kl.mod ;;4;0.0003076217996
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;1.133715095e-08
Instances/lm2_10.mod ;;10;0.3478091831
Instances/lm2_5.mod ;;5;0.01678686833
Instances/lv8.mod ;;3;1.986448384e-09
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;2.091890563e-17
Instances/mgp.mod ;;2;2.777588773e-11
Instances/mgw_10.mod ;;10;0.06721682762
Instances/mgw_20.mod ;;20;0.2321012436
Instances/mgw_2.mod ;;2;0.01479857608
Instances/ml_10.mod ;;10;-2.136502895e-22
Instances/ml_5.mod ;;5;-0.8925539686
Instances/mr.mod ;;3;0.002991422569
Instances/mrp.mod ;;2;6.67416517e-11
Instances/nf2.mod ;;4;0.08356519739
Instances/nf3_10.mod ;;10;634.5157103
Instances/nf3_15.mod ;;15;10925.13866
Instances/nf3_20.mod ;;20;103772.4828
Instances/nf3_25.mod ;;25;1003166.684
Instances/nf3_30.mod ;;30;2839122.421
Instances/osp_10.mod ;;10;-2.207401893e-18
Instances/osp_20.mod ;;20;-3.054890049e-36
Instances/prd.mod ;;2;1.000000181
Instances/ptm.mod ;;9;146.7175277
Instances/pwq.mod ;;4;0.0003813871391
Instances/rb.mod ;;10;17466.98077
Instances/rg_10.mod ;;10;58.460775
Instances/rg_2.mod ;;2;2.078408556e-10
Instances/s10.mod ;;4;-10.53411417
Instances/s5.mod ;;4;-5.023429631
Instances/s7.mod ;;4;-3.701878804
Instances/sal_10.mod ;;10;2.600979901
Instances/sal_5.mod ;;5;0.6082629191
Instances/sbt.mod ;;2;-184.9639158
Instances/sf1.mod ;;2;0.009724417767
Instances/shv1.mod ;;1;-1
Instances/shv2.mod ;;2;-3.548012462e-15
Instances/sin_10.mod ;;10;-1.772641652
Instances/sin_20.mod ;;20;-0.01420604846
Instances/st_17.mod ;;17;1992961332
Instances/st_9.mod ;;9;16084.05301
Instances/stg.mod ;;1;0
Instances/swf.mod ;;10;-2308.638836
Instances/sz.mod ;;1;-12.03124944
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;1.735630913
Instances/xor.mod ;;9;0.8703814987
Instances/zkv_10.mod ;;10;72.7653119
Instances/zkv_20.mod ;;20;387.2222908
Instances/zkv_2.mod ;;2;9.100557308e-14
Instances/zkv_5.mod ;;5;0.008980287987
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.125
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-1
Instances/zlk3b.mod ;;1;-1
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.3978876938
Instances/zlk5.mod ;;3;-3.862782147
Instances/zzs.mod ;;1;-0.8242393985
