FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;1.771736825
Instances/ap.mod ;;2;-0.3523860738
Instances/bf1.mod ;;2;1.283106954e-11
Instances/bf2.mod ;;2;1.425437546e-11
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;8.592037489e-12
Instances/bp.mod ;;2;0.3978873577
Instances/cb3.mod ;;2;2.254864673e-13
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51834
Instances/em_10.mod ;;10;-3.977700539
Instances/em_5.mod ;;5;-2.913748706
Instances/ep.mod ;;2;-0.9999999999
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;65.67594123
Instances/fx_10.mod ;;10;-1.168398008
Instances/fx_5.mod ;;5;-2.700570561
Instances/gp.mod ;;2;3
Instances/gw.mod ;;10;3.376840691
Instances/h3.mod ;;3;-3.862782147
Instances/h6.mod ;;6;-3.322107646
Instances/hm1.mod ;;1;1.629551944e-25
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;1.43669367e-13
Instances/hm5.mod ;;3;4.111060958e-11
Instances/hm.mod ;;2;4.651012309e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;2.151179579e-08
Instances/ir0.mod ;;4;1552.179143
Instances/ir1.mod ;;3;4.310759855e-09
Instances/ir2.mod ;;2;6.01597482e-10
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 2354072910;
;30;0.6742293211
Instances/ir5.mod ;;2;0.001996007983
Instances/kl.mod ;;4;0.0003103175234
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;1.255851533e-09
Instances/lm2_10.mod ;;10;0.323808985
Instances/lm2_5.mod ;;5;0.002284572896
Instances/lv8.mod ;;3;7.453204509e-09
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;5.433695877e-12
Instances/mgp.mod ;;2;2.487272292e-09
Instances/mgw_10.mod ;;10;0.06721682762
Instances/mgw_20.mod ;;20;0.1439014251
Instances/mgw_2.mod ;;2;0.01478625884
Instances/ml_10.mod ;;10;-1.897656038e-22
Instances/ml_5.mod ;;5;-0.4915062674
Instances/mr.mod ;;3;0.001974134116
Instances/mrp.mod ;;2;0.007415501692
Instances/nf2.mod ;;4;0.1230162529
Instances/nf3_10.mod ;;10;39.3535135
Instances/nf3_15.mod ;;15;8924.35744
Instances/nf3_20.mod ;;20;60106.8698
Instances/nf3_25.mod ;;25;213757.3038
Instances/nf3_30.mod ;;30;973541.3565
Instances/osp_10.mod ;;10;-6.768561037e-09
Instances/osp_20.mod ;;20;-5.393419961e-24
Instances/prd.mod ;;2;0.907390288
Instances/ptm.mod ;;9;191.0015144
Instances/pwq.mod ;;4;0.000851295994
Instances/rb.mod ;;10;1008.435459
Instances/rg_10.mod ;;10;45.46917923
Instances/rg_2.mod ;;2;0.00648191855
Instances/s10.mod ;;4;-3.835426615
Instances/s5.mod ;;4;-10.15206801
Instances/s7.mod ;;4;-10.39565024
Instances/sal_10.mod ;;10;1.513559293
Instances/sal_5.mod ;;5;0.1129748705
Instances/sbt.mod ;;2;-186.5618572
Instances/sf1.mod ;;2;0.009727031327
Instances/shv1.mod ;;1;-1
Instances/shv2.mod ;;2;1.115235633e-08
Instances/sin_10.mod ;;10;-2.936588779
Instances/sin_20.mod ;;20;-0.007540108264
Instances/st_17.mod ;;17;542022547.6
Instances/st_9.mod ;;9;1381.200773
Instances/stg.mod ;;1;0
Instances/swf.mod ;;10;-1395.554537
Instances/sz.mod ;;1;-12.03124944
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;0.003707131441
Instances/xor.mod ;;9;0.8685957424
Instances/zkv_10.mod ;;10;22.92382616
Instances/zkv_20.mod ;;20;154.9349953
Instances/zkv_2.mod ;;2;9.626741963e-16
Instances/zkv_5.mod ;;5;4.343541103e-05
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.125
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-0.9999999994
Instances/zlk3b.mod ;;1;-0.9999997484
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.3978876938
Instances/zlk5.mod ;;3;-3.862782147
Instances/zzs.mod ;;1;-0.8242393985
