"FUNCAO","DIM","DE0","DE1","DE2","MIN",,,
"Instances/cm4.mod ",4,-4.4000E+00,-4.4000E+00,-4.4000E+00,-4.4000E+00,,"DE0",18
"Instances/ir0.mod ",4,1.5002E+06,2.4604E+01,1.5002E+05,2.4604E+01,,"DE1",17
"Instances/kl.mod ",4,3.1841E-04,3.0982E-04,3.0751E-04,3.0751E-04,,"DE2",17
"Instances/mcp.mod ",4,6.6053E-04,1.2156E-04,3.4470E-42,3.4470E-42,,,
"Instances/nf2.mod ",4,1.2289E-02,9.7649E-06,1.9921E-01,9.7649E-06,,,
"Instances/pwq.mod ",4,7.9078E+00,1.5760E-08,9.8296E-08,1.5760E-08,,,
"Instances/s10.mod ",4,-3.8354E+00,-2.8066E+00,-3.8221E+00,-3.8354E+00,,,
"Instances/s5.mod ",4,-1.0153E+01,-1.0153E+01,-2.6304E+00,-1.0153E+01,,,
"Instances/s7.mod ",4,-1.0225E+01,-2.7659E+00,-3.7243E+00,-1.0225E+01,,,
"Instances/wf.mod ",4,2.9119E-04,1.0417E+00,3.7658E+00,2.9119E-04,,,
"Instances/em_5.mod ",5,-3.6946E+00,-3.4777E+00,-3.6935E+00,-3.6946E+00,,,
"Instances/fx_5.mod ",5,-1.7288E+00,-1.8040E+00,-1.7460E+00,-1.8040E+00,,,
"Instances/ir3.mod ",5,5.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,,
"Instances/lm2_5.mod ",5,1.4445E-05,4.4845E-02,1.1100E-02,1.4445E-05,,,
"Instances/ml_5.mod ",5,-9.0749E-01,-3.8447E-01,-9.0800E-01,-9.0800E-01,,,
"Instances/sal_5.mod ",5,1.1999E+00,4.9987E-01,1.0999E+00,4.9987E-01,,,
"Instances/zkv_5.mod ",5,1.9708E-04,8.8085E-05,3.8336E-06,3.8336E-06,,,
"Instances/h6.mod ",6,-3.2690E+00,-3.3224E+00,-3.0769E+00,-3.3224E+00,,,
"Instances/ptm.mod ",9,3.6811E+02,1.7509E+02,1.5191E+02,1.5191E+02,,,
"Instances/st_9.mod ",9,1.0135E+04,4.4416E+03,2.7438E+03,2.7438E+03,,,
"Instances/xor.mod ",9,8.7284E-01,8.6791E-01,8.8793E-01,8.6791E-01,,,
"Instances/ack.mod ",10,8.4812E-01,1.8544E+00,1.7907E+00,8.4812E-01,,,
"Instances/em_10.mod ",10,-5.2232E+00,-6.2947E+00,-3.6856E+00,-6.2947E+00,,,
"Instances/exp.mod ",10,6.7379E-03,6.7379E-03,6.7379E-03,6.7379E-03,,,
"Instances/fx_10.mod ",10,-3.5822E-01,-8.6272E-01,-3.7109E-01,-8.6272E-01,,,
"Instances/gw.mod ",10,5.1650E+00,2.6930E+01,1.9978E+00,1.9978E+00,,,
"Instances/lm2_10.mod ",10,2.1637E-02,2.3556E-01,1.1749E+00,2.1637E-02,,,
"Instances/mgw_10.mod ",10,5.8412E-02,4.6515E-02,6.7217E-02,4.6515E-02,,,
"Instances/ml_10.mod ",10,-1.8977E-22,-1.8977E-22,-1.8976E-22,-1.8977E-22,,,
"Instances/nf3_10.mod ",10,-1.4962E+02,2.5094E+02,9.0544E+01,-1.4962E+02,,,
"Instances/osp_10.mod ",10,-1.6219E-11,-3.6921E-10,-8.3881E-09,-8.3881E-09,,,
"Instances/rb.mod ",10,1.1939E+03,3.5526E+05,1.8882E+05,1.1939E+03,,,
"Instances/rg_10.mod ",10,1.1340E+01,9.4310E+00,6.0474E+01,9.4310E+00,,,
"Instances/sal_10.mod ",10,1.8000E+00,2.6999E+00,3.6122E+00,1.8000E+00,,,
"Instances/sin_10.mod ",10,-7.1437E-01,-6.4330E-01,-7.0806E-01,-7.1437E-01,,,
"Instances/swf.mod ",10,-2.9721E+03,-2.5403E+03,-2.3456E+03,-2.9721E+03,,,
"Instances/zkv_10.mod ",10,6.4121E+01,2.0491E+01,2.0485E+01,2.0485E+01,,,
"Instances/nf3_15.mod ",15,1.4541E+04,1.9218E+04,6.9558E+03,6.9558E+03,,,
"Instances/st_17.mod ",17,1.6835E+08,2.4472E+08,8.4186E+08,1.6835E+08,,,
"Instances/mgw_20.mod ",20,2.5269E-01,3.7441E-01,2.4458E-01,2.4458E-01,,,
"Instances/nf3_20.mod ",20,9.8850E+04,1.9584E+05,1.0875E+05,9.8850E+04,,,
"Instances/osp_20.mod ",20,-8.2851E-24,-6.6963E-28,-9.5924E-23,-9.5924E-23,,,
"Instances/sin_20.mod ",20,-5.7152E-02,-5.1894E-01,-2.5703E-01,-5.1894E-01,,,
"Instances/zkv_20.mod ",20,2.9509E+02,3.8247E+02,2.2346E+02,2.2346E+02,,,
"Instances/nf3_25.mod ",25,2.6748E+05,3.3261E+05,2.3838E+05,2.3838E+05,,,
"Instances/ir4.mod ",30,5.4781E-01,9.5977E-01,3.2641E+00,5.4781E-01,,,
"Instances/nf3_30.mod ",30,1.0105E+06,5.5523E+05,2.5221E+06,5.5523E+05,,,
,,,,,,,,
,,1,1,1,,,,
,,0,1,0,,,,
,,0,0,1,,,,
,,0,0,1,,,,
,,0,1,0,,,,
,,0,1,0,,,,
,,1,0,0,,,,
,,0,1,0,,,,
,,1,0,0,,,,
,,1,0,0,,,,
,,1,0,0,,,,
,,0,1,0,,,,
,,0,1,1,,,,
,,1,0,0,,,,
,,0,0,1,,,,
,,0,1,0,,,,
,,0,0,1,,,,
,,0,1,0,,,,
,,0,0,1,,,,
,,0,0,1,,,,
,,0,1,0,,,,
,,1,0,0,,,,
,,0,1,0,,,,
,,1,1,1,,,,
,,0,1,0,,,,
,,0,0,1,,,,
,,1,0,0,,,,
,,0,1,0,,,,
,,1,0,0,,,,
,,1,0,0,,,,
,,0,0,1,,,,
,,1,0,0,,,,
,,0,1,0,,,,
,,1,0,0,,,,
,,1,0,0,,,,
,,1,0,0,,,,
,,0,0,1,,,,
,,0,0,1,,,,
,,1,0,0,,,,
,,0,0,1,,,,
,,1,0,0,,,,
,,0,0,1,,,,
,,0,1,0,,,,
,,0,0,1,,,,
,,0,0,1,,,,
,,1,0,0,,,,
,,0,1,0,,,,
