"FUNCAO","DIM","DE0","DE1","DE2","MIN",,,"DE0",39
"Instances/cm4.mod ",4,"-4,40E+000","-4,40E+000","-4,40E+000","-4,40E+000",,,"DE1",9
"Instances/ir0.mod ",4,"4,41E-004","1,92E+002","1,29E+003","4,41E-004",,,"DE2",6
"Instances/kl.mod ",4,"3,07E-004","3,08E-004","3,24E-004","3,07E-004",,,,
"Instances/mcp.mod ",4,"4,19E-005","2,09E-017","7,54E-026","7,54E-026",,,,
"Instances/nf2.mod ",4,"4,79E-002","8,36E-002","1,42E-001","4,79E-002",,,,
"Instances/pwq.mod ",4,"3,26E-010","3,81E-004","4,89E-002","3,26E-010",,,,
"Instances/s10.mod ",4,"-1,05E+001","-1,05E+001","-4,93E+000","-1,05E+001",,,,
"Instances/s5.mod ",4,"-2,68E+000","-5,02E+000","-1,01E+001","-1,01E+001",,,,
"Instances/s7.mod ",4,"-1,04E+001","-3,70E+000","-6,23E+000","-1,04E+001",,,,
"Instances/wf.mod ",4,"2,54E+000","1,74E+000","7,02E+000","1,74E+000",,,,
"Instances/em_5.mod ",5,"-4,49E+000","-4,09E+000","-4,37E+000","-4,49E+000",,,,
"Instances/fx_5.mod ",5,"-2,17E+000","-1,82E+000","-1,34E+000","-2,17E+000",,,,
"Instances/ir3.mod ",5,"2,00E+000","0,00E+000","0,00E+000","0,00E+000",,,,
"Instances/lm2_5.mod ",5,"1,90E-002","1,68E-002","4,62E-002","1,68E-002",,,,
"Instances/ml_5.mod ",5,"-9,08E-001","-8,93E-001","-8,19E-001","-9,08E-001",,,,
"Instances/sal_5.mod ",5,"2,01E-001","6,08E-001","7,15E-001","2,01E-001",,,,
"Instances/zkv_5.mod ",5,"2,60E-002","8,98E-003","7,44E-001","8,98E-003",,,,
"Instances/h6.mod ",6,"-3,32E+000","-3,23E+000","-3,20E+000","-3,32E+000",,,,
"Instances/ptm.mod ",9,"1,12E+002","1,47E+002","1,96E+002","1,12E+002",,,,
"Instances/st_9.mod ",9,"2,33E+003","1,61E+004","8,01E+004","2,33E+003",,,,
"Instances/xor.mod ",9,"8,68E-001","8,70E-001","8,75E-001","8,68E-001",,,,
"Instances/ack.mod ",10,"1,93E+000","2,35E+000","2,84E+000","1,93E+000",,,,
"Instances/em_10.mod ",10,"-5,07E+000","-3,68E+000","-3,81E+000","-5,07E+000",,,,
"Instances/exp.mod ",10,"6,74E-003","6,74E-003","6,74E-003","6,74E-003",,,,
"Instances/fx_10.mod ",10,"-5,89E-001","-6,69E-001","-3,68E-001","-6,69E-001",,,,
"Instances/gw.mod ",10,"2,81E+000","5,11E+000","1,80E+001","2,81E+000",,,,
"Instances/lm2_10.mod ",10,"4,28E-002","3,48E-001","8,14E-001","4,28E-002",,,,
"Instances/mgw_10.mod ",10,"6,72E-002","6,72E-002","6,72E-002","6,72E-002",,,,
"Instances/ml_10.mod ",10,"-2,27E-022","-2,14E-022","-7,26E-024","-2,27E-022",,,,
"Instances/nf3_10.mod ",10,"-7,84E+001","6,35E+002","9,21E+002","-7,84E+001",,,,
"Instances/osp_10.mod ",10,"-3,61E-010","-2,21E-018","-1,50E-011","-3,61E-010",,,,
"Instances/rb.mod ",10,"2,67E+004","1,75E+004","1,73E+006","1,75E+004",,,,
"Instances/rg_10.mod ",10,"4,17E+001","5,85E+001","7,82E+001","4,17E+001",,,,
"Instances/sal_10.mod ",10,"1,85E+000","2,60E+000","4,87E+000","1,85E+000",,,,
"Instances/sin_10.mod ",10,"-3,40E+000","-1,77E+000","-2,17E+000","-3,40E+000",,,,
"Instances/swf.mod ",10,"-2,96E+003","-2,31E+003","-1,82E+003","-2,96E+003",,,,
"Instances/zkv_10.mod ",10,"1,91E+001","7,28E+001","8,68E+001","1,91E+001",,,,
"Instances/nf3_15.mod ",15,"3,71E+003","1,09E+004","4,64E+004","3,71E+003",,,,
"Instances/st_17.mod ",17,"1,21E+009","1,99E+009","1,98E+009","1,21E+009",,,,
"Instances/mgw_20.mod ",20,"1,90E-001","2,32E-001","2,29E-001","1,90E-001",,,,
"Instances/nf3_20.mod ",20,"3,75E+004","1,04E+005","1,54E+005","3,75E+004",,,,
"Instances/osp_20.mod ",20,"-5,62E-028","-3,05E-036","-1,45E-037","-5,62E-028",,,,
"Instances/sin_20.mod ",20,"-2,38E-001","-1,42E-002","-8,97E-003","-2,38E-001",,,,
"Instances/zkv_20.mod ",20,"1,71E+002","3,87E+002","3,36E+002","1,71E+002",,,,
"Instances/nf3_25.mod ",25,"2,56E+005","1,00E+006","1,12E+006","2,56E+005",,,,
"Instances/ir4.mod ",30,"5,74E-001","2,09E+000","7,92E+000","5,74E-001",,,,
"Instances/nf3_30.mod ",30,"7,03E+005","2,84E+006","2,15E+006","7,03E+005",,,,
,,,,,,,,,
,,1,1,1,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,0,0,1,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,0,0,1,,,,,
,,1,0,0,,,,,
,,0,1,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,0,1,1,,,,,
,,0,1,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,0,1,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,1,1,,,,,
,,0,1,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,1,1,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,0,1,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
,,1,0,0,,,,,
