"FUNCAO","DIM","DE0","DE1","DE2","MIN",,,
"Instances/cm4.mod ",4,"-4,40E+000","-4,40E+000","-4,40E+000","-4,40E+000",,"DE0",24
"Instances/ir0.mod ",4,"6,07E-001","8,13E+002","1,55E+003","6,07E-001",,"DE1",13
"Instances/kl.mod ",4,"3,08E-004","3,07E-004","3,10E-004","3,07E-004",,"DE2",17
"Instances/mcp.mod ",4,"1,91E-007","1,19E-004","5,43E-012","5,43E-012",,,
"Instances/nf2.mod ",4,"4,39E-001","9,50E-002","1,23E-001","9,50E-002",,,
"Instances/pwq.mod ",4,"6,40E-003","2,66E-001","8,51E-004","8,51E-004",,,
"Instances/s10.mod ",4,"-1,05E+001","-1,05E+001","-3,84E+000","-1,05E+001",,,
"Instances/s5.mod ",4,"-1,02E+001","-1,02E+001","-1,02E+001","-1,02E+001",,,
"Instances/s7.mod ",4,"-1,04E+001","-3,71E+000","-1,04E+001","-1,04E+001",,,
"Instances/wf.mod ",4,"9,09E-001","1,14E+000","3,71E-003","3,71E-003",,,
"Instances/em_5.mod ",5,"-3,47E+000","-2,93E+000","-2,91E+000","-3,47E+000",,,
"Instances/fx_5.mod ",5,"-2,70E+000","-1,74E+000","-2,70E+000","-2,70E+000",,,
"Instances/ir3.mod ",5,"0,00E+000","1,00E+000","0,00E+000","0,00E+000",,,
"Instances/lm2_5.mod ",5,"1,94E-005","1,12E-002","2,28E-003","1,94E-005",,,
"Instances/ml_5.mod ",5,"-9,64E-001","-7,98E-001","-4,92E-001","-9,64E-001",,,
"Instances/sal_5.mod ",5,"1,00E-001","3,00E-001","1,13E-001","1,00E-001",,,
"Instances/zkv_5.mod ",5,"2,83E-003","2,48E-001","4,34E-005","4,34E-005",,,
"Instances/h6.mod ",6,"-3,32E+000","-3,31E+000","-3,32E+000","-3,32E+000",,,
"Instances/ptm.mod ",9,"1,88E+002","1,39E+002","1,91E+002","1,39E+002",,,
"Instances/st_9.mod ",9,"6,14E+002","1,04E+004","1,38E+003","6,14E+002",,,
"Instances/xor.mod ",9,"8,85E-001","8,68E-001","8,69E-001","8,68E-001",,,
"Instances/ack.mod ",10,"2,01E+000","2,07E+000","1,77E+000","1,77E+000",,,
"Instances/em_10.mod ",10,"-5,35E+000","-4,94E+000","-3,98E+000","-5,35E+000",,,
"Instances/exp.mod ",10,"6,74E-003","6,74E-003","6,74E-003","6,74E-003",,,
"Instances/fx_10.mod ",10,"-3,80E-001","-3,69E-001","-1,17E+000","-1,17E+000",,,
"Instances/gw.mod ",10,"3,23E+000","1,55E+001","3,38E+000","3,23E+000",,,
"Instances/lm2_10.mod ",10,"2,12E-001","7,57E-001","3,24E-001","2,12E-001",,,
"Instances/mgw_10.mod ",10,"4,57E-002","6,72E-002","6,72E-002","4,57E-002",,,
"Instances/ml_10.mod ",10,"-1,90E-022","-1,90E-022","-1,90E-022","-1,90E-022",,,
"Instances/nf3_10.mod ",10,"-9,60E+001","4,29E+002","3,94E+001","-9,60E+001",,,
"Instances/osp_10.mod ",10,"-8,63E-009","-3,73E-010","-6,77E-009","-8,63E-009",,,
"Instances/rb.mod ",10,"3,68E+004","1,42E+005","1,01E+003","1,01E+003",,,
"Instances/rg_10.mod ",10,"2,52E+001","2,93E+001","4,55E+001","2,52E+001",,,
"Instances/sal_10.mod ",10,"3,40E+000","2,20E+000","1,51E+000","1,51E+000",,,
"Instances/sin_10.mod ",10,"-2,11E+000","-2,12E+000","-2,94E+000","-2,94E+000",,,
"Instances/swf.mod ",10,"-1,84E+003","-3,01E+003","-1,40E+003","-3,01E+003",,,
"Instances/zkv_10.mod ",10,"2,97E+001","7,83E+001","2,29E+001","2,29E+001",,,
"Instances/nf3_15.mod ",15,"1,17E+004","7,24E+003","8,92E+003","7,24E+003",,,
"Instances/st_17.mod ",17,"1,32E+008","1,64E+008","5,42E+008","1,32E+008",,,
"Instances/mgw_20.mod ",20,"2,58E-001","1,52E-001","1,44E-001","1,44E-001",,,
