FUNCAO;MEDIA\n
Instances/ack.mod ;;1.42133271
Instances/ap.mod ;;-0.3459426341
Instances/bf1.mod ;;0
Instances/bf2.mod ;;0
Instances/bhs.mod ;;-3.428493842
Instances/bl.mod ;;5.599666867e-24
Instances/bp.mod ;;0.3978873577
Instances/cb3.mod ;;1.765699964e-24
Instances/cb6.mod ;;-1.031628453
Instances/cm2.mod ;;-2.2
Instances/cm4.mod ;;-4.4
Instances/da.mod ;;-24776.51834
Instances/em_10.mod ;;-6.078555079
Instances/em_5.mod ;;-3.361428358
Instances/ep.mod ;;-1
Instances/exp.mod ;;0.006802913166
Instances/fls.mod ;;-2.021806783
Instances/fr.mod ;;21.18578749
Instances/fx_10.mod ;;-0.9356732575
Instances/fx_5.mod ;;-2.192723374
Instances/gp.mod ;;3
Instances/gw.mod ;;0.65883162
Instances/h3.mod ;;-3.862780767
Instances/h6.mod ;;-3.272714035
Instances/hm1.mod ;;0
Instances/hm2.mod ;;-4.81446989
Instances/hm3.mod ;;-2.267543938
Instances/hm4.mod ;;1.471694108e-23
Instances/hm5.mod ;;2.437102202e-21
Instances/hm.mod ;;4.651012243e-08
Instances/hsk.mod ;;-2.345811576
Instances/hv.mod ;;5.753548217e-18
Instances/ir0.mod ;;102535.9106
Instances/ir1.mod ;;2.555485124e-19
Instances/ir2.mod ;;0.0005042578554
Instances/ir3.mod ;;0.3548387097
Instances/ir4.mod ;option randseed 2642560500;
;1.054273161
Instances/ir5.mod ;;0.001997388317
Instances/kl.mod ;;0.0003123602933
Instances/ks.mod ;;0
Instances/lm1.mod ;;0.06688323887
Instances/lm2_10.mod ;;0.05795622752
Instances/lm2_5.mod ;;0.007118339752
Instances/lv8.mod ;;0.02920746241
Instances/mc.mod ;;-1.913222955
Instances/mcp.mod ;;4.563735103e-06
Instances/mgp.mod ;;1.931902136e-09
Instances/mgw_10.mod ;;0.04415920818
Instances/mgw_20.mod ;;0.1329712667
Instances/mgw_2.mod ;;0.01303760897
Instances/ml_10.mod ;;-0.05520007456
Instances/ml_5.mod ;;-0.6469642606
Instances/mr.mod ;;0.00605139091
Instances/mrp.mod ;;0.003827298795
Instances/nf2.mod ;;0.007170086858
Instances/nf3_10.mod ;;175.7159272
Instances/nf3_15.mod ;;2959.079524
Instances/nf3_20.mod ;;24565.47948
Instances/nf3_25.mod ;;123984.0013
Instances/nf3_30.mod ;;340875.809
Instances/osp_10.mod ;;-0.0003363786487
Instances/osp_20.mod ;;-1.582419924e-12
Instances/prd.mod ;;0.9709675751
Instances/ptm.mod ;;160.9865771
Instances/pwq.mod ;;0.05362504728
Instances/rb.mod ;;8243.536276
Instances/rg_10.mod ;;21.42793618
Instances/rg_2.mod ;;0.1925727207
Instances/s10.mod ;;-5.458816512
Instances/s5.mod ;;-6.586521756
Instances/s7.mod ;;-6.238596084
Instances/sal_10.mod ;;0.7265668036
Instances/sal_5.mod ;;0.1128044173
Instances/sbt.mod ;;-186.7309088
Instances/sf1.mod ;;0.007835411199
Instances/shv1.mod ;;-1
Instances/shv2.mod ;;-1.661753172e-15
Instances/sin_10.mod ;;-3.110856211
Instances/sin_20.mod ;;-1.147378216
Instances/st_17.mod ;;88748758.49
Instances/st_9.mod ;;2165.786041
Instances/stg.mod ;;0
Instances/swf.mod ;;-3134.553695
Instances/sz.mod ;;-12.03124944
Instances/szzs.mod ;;-1.601307546
Instances/wf.mod ;;1.447553609
Instances/xor.mod ;;0.877335769
Instances/zkv_10.mod ;;10.53870069
Instances/zkv_20.mod ;;103.7402983
Instances/zkv_2.mod ;;3.096932575e-24
Instances/zkv_5.mod ;;5.144526656e-07
Instances/zlk1.mod ;;-1.905961119
Instances/zlk2a.mod ;;-1.124989736
Instances/zlk2b.mod ;;-1.125
Instances/zlk3a.mod ;;-1
Instances/zlk3b.mod ;;-1
Instances/zlk3c.mod ;;-1
Instances/zlk4.mod ;;0.3978876938
Instances/zlk5.mod ;;-3.862780767
Instances/zzs.mod ;;-0.8242393985
