FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;1.674051911
Instances/ap.mod ;;2;-0.3523860738
Instances/bf1.mod ;;2;0
Instances/bf2.mod ;;2;0
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;0
Instances/bp.mod ;;2;0.3981965768
Instances/cb3.mod ;;2;2.846129497e-66
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51834
Instances/em_10.mod ;;10;-6.294741655
Instances/em_5.mod ;;5;-3.477735987
Instances/ep.mod ;;2;-1
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;65.67594123
Instances/fx_10.mod ;;10;-0.8627245503
Instances/fx_5.mod ;;5;-1.80402905
Instances/gp.mod ;;2;3
Instances/gw.mod ;;10;26.92950975
Instances/h3.mod ;;3;-3.825178219
Instances/h6.mod ;;6;-3.322357993
Instances/hm1.mod ;;1;0
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;0
Instances/hm5.mod ;;3;9.640484136e-53
Instances/hm.mod ;;2;4.651012242e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;0.2764175039
Instances/ir0.mod ;;4;24.60375
Instances/ir1.mod ;;3;3.540877111e-35
Instances/ir2.mod ;;2;0
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 1117218541;
;30;0.9472256964
Instances/ir5.mod ;;2;0.001996007983
Instances/kl.mod ;;4;0.000309824828
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;0.001242491338
Instances/lm2_10.mod ;;10;0.2355588064
Instances/lm2_5.mod ;;5;0.04484519416
Instances/lv8.mod ;;3;0.8923323448
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;0.0001215566168
Instances/mgp.mod ;;2;2.487272292e-09
Instances/mgw_10.mod ;;10;0.03650697982
Instances/mgw_20.mod ;;20;0.2471872205
Instances/mgw_2.mod ;;2;0.01558280266
Instances/ml_10.mod ;;10;-1.897656994e-22
Instances/ml_5.mod ;;5;-0.3844735927
Instances/mr.mod ;;3;0.0489199904
Instances/mrp.mod ;;2;1.232595164e-32
Instances/nf2.mod ;;4;9.266235754e-06
Instances/nf3_10.mod ;;10;250.9357363
Instances/nf3_15.mod ;;15;19218.15428
Instances/nf3_20.mod ;;20;195837.6588
Instances/nf3_25.mod ;;25;332607.999
Instances/nf3_30.mod ;;30;555233.4676
Instances/osp_10.mod ;;10;-3.692053622e-10
Instances/osp_20.mod ;;20;-6.768093648e-28
Instances/prd.mod ;;2;0.9
Instances/ptm.mod ;;9;175.0892117
Instances/pwq.mod ;;4;1.576013604e-08
Instances/rb.mod ;;10;355264.51
Instances/rg_10.mod ;;10;9.430998697
Instances/rg_2.mod ;;2;0
Instances/s10.mod ;;4;-2.806630721
Instances/s5.mod ;;4;-10.15319968
Instances/s7.mod ;;4;-2.765897328
Instances/sal_10.mod ;;10;2.699875219
Instances/sal_5.mod ;;5;0.4998742063
Instances/sbt.mod ;;2;-186.7309088
Instances/sf1.mod ;;2;0.07819242766
Instances/shv1.mod ;;1;-1
Instances/shv2.mod ;;2;-1.776356839e-15
Instances/sin_10.mod ;;10;-0.6433013686
Instances/sin_20.mod ;;20;-0.5189444179
Instances/st_17.mod ;;17;244715723.1
Instances/st_9.mod ;;9;4441.553544
Instances/stg.mod ;;1;0
Instances/swf.mod ;;10;-2540.264591
Instances/sz.mod ;;1;-12.03124944
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;1.041678856
Instances/xor.mod ;;9;0.8679129323
Instances/zkv_10.mod ;;10;20.49142535
Instances/zkv_20.mod ;;20;378.0519596
Instances/zkv_2.mod ;;2;7.626378262e-65
Instances/zkv_5.mod ;;5;8.808461462e-05
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.125
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-1
Instances/zlk3b.mod ;;1;-1
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.3981969296
Instances/zlk5.mod ;;3;-3.825178219
Instances/zzs.mod ;;1;-0.8242393985
