FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;1.980607047
Instances/ap.mod ;;2;-0.3523860701
Instances/bf1.mod ;;2;3.74440451e-06
Instances/bf2.mod ;;2;3.681991694e-05
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;2.759966593e-05
Instances/bp.mod ;;2;0.3979648071
Instances/cb3.mod ;;2;1.682472227e-08
Instances/cb6.mod ;;2;-1.031622576
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.48702
Instances/em_10.mod ;;10;-4.806827162
Instances/em_5.mod ;;5;-3.931893892
Instances/ep.mod ;;2;-0.9999998375
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;4.237157499
Instances/fx_10.mod ;;10;-0.6397415606
Instances/fx_5.mod ;;5;-2.122205705
Instances/gp.mod ;;2;3.000003649
Instances/gw.mod ;;10;2.587417552
Instances/h3.mod ;;3;-3.862782011
Instances/h6.mod ;;6;-3.218166111
Instances/hm1.mod ;;1;1.681555886e-11
Instances/hm2.mod ;;1;-4.814469889
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;2.792656236e-05
Instances/hm5.mod ;;3;1.273532045e-08
Instances/hm.mod ;;2;5.923532942e-06
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;0.0001712452975
Instances/ir0.mod ;;4;513.139255
Instances/ir1.mod ;;3;1.335395138e-06
Instances/ir2.mod ;;2;0.001540012124
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 880523089;
;30;1.860636223
Instances/ir5.mod ;;2;0.00199603348
Instances/kl.mod ;;4;0.0003097220331
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;3.945292802e-06
Instances/lm2_10.mod ;;10;0.2248259157
Instances/lm2_5.mod ;;5;0.0116341765
Instances/lv8.mod ;;3;8.34053748e-07
Instances/mc.mod ;;2;-1.91322295
Instances/mcp.mod ;;4;2.185632775e-18
Instances/mgp.mod ;;2;1.071144814e-10
Instances/mgw_10.mod ;;10;0.07691512853
Instances/mgw_20.mod ;;20;0.2052818042
Instances/mgw_2.mod ;;2;0.005552923686
Instances/ml_10.mod ;;10;-0.0002456673993
Instances/ml_5.mod ;;5;-0.5987886069
Instances/mr.mod ;;3;0.001973906304
Instances/mrp.mod ;;2;0.003142219852
Instances/nf2.mod ;;4;0.5754568104
Instances/nf3_10.mod ;;10;417.4864082
Instances/nf3_15.mod ;;15;13811.50046
Instances/nf3_20.mod ;;20;87979.01809
Instances/nf3_25.mod ;;25;389109.3838
Instances/nf3_30.mod ;;30;1216569.206
Instances/osp_10.mod ;;10;-2.620061148e-08
Instances/osp_20.mod ;;20;-1.397044626e-22
Instances/prd.mod ;;2;0.9063127548
Instances/ptm.mod ;;9;147.6817653
Instances/pwq.mod ;;4;0.02173763679
Instances/rb.mod ;;10;12353.68394
Instances/rg_10.mod ;;10;52.18259095
Instances/rg_2.mod ;;2;0.009572346253
Instances/s10.mod ;;4;-8.763555013
Instances/s5.mod ;;4;-7.086645532
Instances/s7.mod ;;4;-9.251205896
Instances/sal_10.mod ;;10;2.360473794
Instances/sal_5.mod ;;5;0.4923997584
Instances/sbt.mod ;;2;-185.1083388
Instances/sf1.mod ;;2;0.009316320348
Instances/shv1.mod ;;1;-0.9999999997
Instances/shv2.mod ;;2;5.308933836e-08
Instances/sin_10.mod ;;10;-2.856054236
Instances/sin_20.mod ;;20;-0.7760309465
Instances/st_17.mod ;;17;716789855.1
Instances/st_9.mod ;;9;11533.14545
Instances/stg.mod ;;1;1.124548483e-15
Instances/swf.mod ;;10;-2533.976402
Instances/sz.mod ;;1;-12.03124383
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;3.733955527
Instances/xor.mod ;;9;0.8736144091
Instances/zkv_10.mod ;;10;37.74298121
Instances/zkv_20.mod ;;20;252.0070059
Instances/zkv_2.mod ;;2;2.248027215e-08
Instances/zkv_5.mod ;;5;0.1925851026
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.1199334
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-0.9999999459
Instances/zlk3b.mod ;;1;-0.9999996202
Instances/zlk3c.mod ;;1;-0.9999999857
Instances/zlk4.mod ;;2;0.3979651782
Instances/zlk5.mod ;;3;-3.862782011
Instances/zzs.mod ;;1;-0.8242393985
