FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;1.575240597
Instances/ap.mod ;;2;-0.3459426341
Instances/bf1.mod ;;2;0
Instances/bf2.mod ;;2;0.007042360896
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;1.288899292e-07
Instances/bp.mod ;;2;0.3978873597
Instances/cb3.mod ;;2;0.009633498137
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51834
Instances/em_10.mod ;;10;-5.249544435
Instances/em_5.mod ;;5;-3.85012381
Instances/ep.mod ;;2;-1
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;23.30436624
Instances/fx_10.mod ;;10;-1.514502739
Instances/fx_5.mod ;;5;-2.988309245
Instances/gp.mod ;;2;6.483870968
Instances/gw.mod ;;10;0.5556154995
Instances/h3.mod ;;3;-3.787973956
Instances/h6.mod ;;6;-3.283914426
Instances/hm1.mod ;;1;2.698311902e-16
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;4.439694134e-10
Instances/hm5.mod ;;3;9.484450414e-18
Instances/hm.mod ;;2;4.651032405e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;5.106431043e-14
Instances/ir0.mod ;;4;2.90301476
Instances/ir1.mod ;;3;9.945167267e-16
Instances/ir2.mod ;;2;1.715417366e-11
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 483858613;
;30;0.845827411
Instances/ir5.mod ;;2;0.001996764514
Instances/kl.mod ;;4;0.00030748603
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;0.03344162023
Instances/lm2_10.mod ;;10;0.09938500798
Instances/lm2_5.mod ;;5;0.00290432076
Instances/lv8.mod ;;3;7.188207841e-16
Instances/mc.mod ;;2;-1.811881256
Instances/mcp.mod ;;4;1.378418671e-21
Instances/mgp.mod ;;2;1.773224949e-09
Instances/mgw_10.mod ;;10;0.08089611499
Instances/mgw_20.mod ;;20;0.1956291355
Instances/mgw_2.mod ;;2;0.008027568902
Instances/ml_10.mod ;;10;-0.08560341014
Instances/ml_5.mod ;;5;-0.6902251701
Instances/mr.mod ;;3;0.003728593225
Instances/mrp.mod ;;2;0.003839412048
Instances/nf2.mod ;;4;0.05724043321
Instances/nf3_10.mod ;;10;-116.9257116
Instances/nf3_15.mod ;;15;1229.484519
Instances/nf3_20.mod ;;20;11409.38336
Instances/nf3_25.mod ;;25;43618.40328
Instances/nf3_30.mod ;;30;184296.6223
Instances/osp_10.mod ;;10;-0.0001664209669
Instances/osp_20.mod ;;20;-1.233670414e-11
Instances/prd.mod ;;2;0.957523579
Instances/ptm.mod ;;9;115.5207286
Instances/pwq.mod ;;4;1.298160902e-09
Instances/rb.mod ;;10;254.7848974
Instances/rg_10.mod ;;10;32.41008322
Instances/rg_2.mod ;;2;0.1009391295
Instances/s10.mod ;;4;-6.360007221
Instances/s5.mod ;;4;-6.093139981
Instances/s7.mod ;;4;-5.87056923
Instances/sal_10.mod ;;10;0.9512244477
Instances/sal_5.mod ;;5;0.1884437389
Instances/sbt.mod ;;2;-186.3842155
Instances/sf1.mod ;;2;0.008399402379
Instances/shv1.mod ;;1;-0.9999999596
Instances/shv2.mod ;;2;1.750359958e-12
Instances/sin_10.mod ;;10;-3.236860087
Instances/sin_20.mod ;;20;-1.757541106
Instances/st_17.mod ;;17;104588515
Instances/st_9.mod ;;9;1980.050026
Instances/stg.mod ;;1;0
Instances/swf.mod ;;10;-3032.305058
Instances/sz.mod ;;1;-12.03124546
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;1.065378615
Instances/xor.mod ;;9;0.8737861275
Instances/zkv_10.mod ;;10;9.695388233
Instances/zkv_20.mod ;;20;204.4388397
Instances/zkv_2.mod ;;2;1.049002115e-20
Instances/zkv_5.mod ;;5;1.312130862e-06
Instances/zlk1.mod ;;1;-1.816931578
Instances/zlk2a.mod ;;1;-1.092029619
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-0.9999999968
Instances/zlk3b.mod ;;1;-0.999999999
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.3978876958
Instances/zlk5.mod ;;3;-3.787973956
Instances/zzs.mod ;;1;-0.8242393985
