"FUNCAO","DIM","DE0","DE1","DE2","MIN",,,,,
"Instances/cm4.mod ",4,-4.4000E+00,-4.4000E+00,-4.4000E+00,"-4,40E+000",,,,"DE0",14
"Instances/ir0.mod ",4,1.5002E+06,2.4604E+01,1.5002E+05,"2,46E+001",,,,"DE1",14
"Instances/kl.mod ",4,3.1841E-04,3.0982E-04,3.0749E-04,"3,07E-004",,,,"DE2",26
"Instances/mcp.mod ",4,6.6053E-04,1.2156E-04,1.5193E-64,"1,52E-064",,,,,
"Instances/nf2.mod ",4,1.2289E-02,9.2662E-06,2.4410E-08,"2,44E-008",,,,,
"Instances/pwq.mod ",4,7.9077E+00,1.5760E-08,8.1567E-14,"8,16E-014",,,,,
"Instances/s10.mod ",4,-3.8354E+00,-2.8066E+00,-3.8221E+00,"-3,84E+000",,,,,
"Instances/s5.mod ",4,-1.0153E+01,-1.0153E+01,-2.6304E+00,"-1,02E+001",,,,,
"Instances/s7.mod ",4,-1.0225E+01,-2.7659E+00,-3.7243E+00,"-1,02E+001",,,,,
"Instances/wf.mod ",4,2.9118E-04,1.0417E+00,1.0778E-01,"2,91E-004",,,,,
"Instances/em_5.mod ",5,-3.6946E+00,-3.4777E+00,-3.6935E+00,"-3,69E+000",,,,,
"Instances/fx_5.mod ",5,-1.7288E+00,-1.8040E+00,-1.7460E+00,"-1,80E+000",,,,,
"Instances/ir3.mod ",5,5.0000E+00,0.0000E+00,0.0000E+00,"0,00E+000",,,,,
"Instances/lm2_5.mod ",5,1.4444E-05,4.4845E-02,1.1099E-02,"1,44E-005",,,,,
"Instances/ml_5.mod ",5,-9.0749E-01,-3.8447E-01,-9.0800E-01,"-9,08E-001",,,,,
"Instances/sal_5.mod ",5,1.1999E+00,4.9987E-01,1.0999E+00,"5,00E-001",,,,,
"Instances/zkv_5.mod ",5,1.9708E-04,8.8085E-05,1.0419E-10,"1,04E-010",,,,,
"Instances/h6.mod ",6,-3.2690E+00,-3.3224E+00,-3.0769E+00,"-3,32E+000",,,,,
"Instances/ptm.mod ",9,3.6811E+02,1.7509E+02,1.2446E+02,"1,24E+002",,,,,
"Instances/st_9.mod ",9,1.0135E+04,4.4416E+03,3.2497E+01,"3,25E+001",,,,,
"Instances/xor.mod ",9,8.7284E-01,8.6791E-01,8.8793E-01,"8,68E-001",,,,,
"Instances/ack.mod ",10,8.4808E-01,1.6741E+00,1.0748E+00,"8,48E-001",,,,,
"Instances/em_10.mod ",10,-5.2232E+00,-6.2947E+00,-6.1939E+00,"-6,29E+000",,,,,
"Instances/exp.mod ",10,6.7379E-03,6.7379E-03,6.7379E-03,"6,74E-003",,,,,
"Instances/fx_10.mod ",10,-3.5822E-01,-8.6272E-01,-4.4478E-01,"-8,63E-001",,,,,
"Instances/gw.mod ",10,5.1650E+00,2.6930E+01,5.5378E-01,"5,54E-001",,,,,
"Instances/lm2_10.mod ",10,2.1637E-02,2.3556E-01,1.5386E-01,"2,16E-002",,,,,
"Instances/mgw_10.mod ",10,3.9696E-02,3.6507E-02,6.0486E-02,"3,65E-002",,,,,
"Instances/ml_10.mod ",10,-1.8977E-22,-1.8977E-22,-1.8977E-22,"-1,90E-022",,,,,
"Instances/nf3_10.mod ",10,-1.4962E+02,2.5094E+02,-7.1153E+01,"-1,50E+002",,,,,
"Instances/osp_10.mod ",10,-1.6221E-11,-3.6921E-10,-8.6904E-09,"-8,69E-009",,,,,
"Instances/rb.mod ",10,1.1939E+03,3.5526E+05,3.2590E+02,"3,26E+002",,,,,
"Instances/rg_10.mod ",10,1.1337E+01,9.4310E+00,9.6949E+00,"9,43E+000",,,,,
"Instances/sal_10.mod ",10,1.7999E+00,2.6999E+00,3.5999E+00,"1,80E+000",,,,,
"Instances/sin_10.mod ",10,-7.1437E-01,-6.4330E-01,-8.7500E-01,"-8,75E-001",,,,,
"Instances/swf.mod ",10,-2.9721E+03,-2.5403E+03,-2.3546E+03,"-2,97E+003",,,,,
"Instances/zkv_10.mod ",10,6.4121E+01,2.0491E+01,3.2509E-02,"3,25E-002",,,,,
"Instances/nf3_15.mod ",15,1.4541E+04,1.9218E+04,1.1421E+03,"1,14E+003",,,,,
"Instances/st_17.mod ",17,1.6835E+08,2.4472E+08,1.5578E+08,"1,56E+008",,,,,
