"FUNCAO","DIM","DE0","DE1","DE2","MIN",,,,,
"Instances/cm4.mod ",4,-4.4000E+00,-4.4000E+00,-4.4000E+00,-4.4000E+00,,,,"DE0",23
"Instances/ir0.mod ",4,5.8600E-11,1.3800E+00,2.0700E+00,5.8600E-11,,,,"DE1",22
"Instances/kl.mod ",4,3.0700E-04,3.0700E-04,3.0800E-04,3.0700E-04,,,,"DE2",18
"Instances/mcp.mod ",4,4.1900E-05,1.8000E-22,3.7400E-52,3.7400E-52,,,,,
"Instances/nf2.mod ",4,2.3700E-02,8.3600E-02,6.9400E-02,2.3700E-02,,,,,
"Instances/pwq.mod ",4,8.4200E-18,9.9500E-09,1.0700E-06,8.4200E-18,,,,,
"Instances/s10.mod ",4,-1.0500E+01,-1.0500E+01,-1.0500E+01,-1.0500E+01,,,,,
"Instances/s5.mod ",4,-2.6800E+00,-1.0200E+01,-1.0200E+01,-1.0200E+01,,,,,
"Instances/s7.mod ",4,-1.0400E+01,-3.7200E+00,-1.0400E+01,-1.0400E+01,,,,,
"Instances/wf.mod ",4,2.5400E+00,6.5100E-02,3.3800E-01,6.5100E-02,,,,,
"Instances/em_5.mod ",5,-4.4900E+00,-4.4900E+00,-4.4800E+00,-4.4900E+00,,,,,
"Instances/fx_5.mod ",5,-2.1700E+00,-2.6700E+00,-1.0400E+01,-1.0400E+01,,,,,
"Instances/ir3.mod ",5,2.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,,,,,
"Instances/lm2_5.mod ",5,1.8900E-02,2.6800E-06,1.1100E-07,1.1100E-07,,,,,
"Instances/ml_5.mod ",5,-9.0800E-01,-9.0800E-01,-9.0800E-01,-9.0800E-01,,,,,
"Instances/sal_5.mod ",5,9.9900E-02,1.1800E-01,2.0000E-01,9.9900E-02,,,,,
"Instances/zkv_5.mod ",5,2.4800E-02,8.0400E-06,2.6100E-04,8.0400E-06,,,,,
"Instances/h6.mod ",6,-3.3200E+00,-3.3000E+00,-3.2000E+00,-3.3200E+00,,,,,
"Instances/ptm.mod ",9,9.6900E+01,9.0800E+01,1.0400E+02,9.0800E+01,,,,,
"Instances/st_9.mod ",9,1.0500E+03,1.9100E+03,4.0600E+03,1.0500E+03,,,,,
"Instances/xor.mod ",9,8.6800E-01,8.6800E-01,8.6800E-01,8.6800E-01,,,,,
"Instances/ack.mod ",10,8.0900E-01,1.2300E+00,1.6100E+00,8.0900E-01,,,,,
"Instances/em_10.mod ",10,-6.4400E+00,-5.1600E+00,-6.3900E+00,-6.4400E+00,,,,,
"Instances/exp.mod ",10,6.7400E-03,6.7400E-03,6.7400E-03,6.7400E-03,,,,,
"Instances/fx_10.mod ",10,-9.4900E-01,-1.4700E+00,-1.4500E+00,-1.4700E+00,,,,,
"Instances/gw.mod ",10,1.6100E+00,8.6500E-01,1.0200E+00,8.6500E-01,,,,,
"Instances/lm2_10.mod ",10,2.5800E-06,7.4400E-03,3.1900E-02,2.5800E-06,,,,,
"Instances/mgw_10.mod ",10,6.7200E-02,6.7200E-02,6.0000E-02,6.0000E-02,,,,,
"Instances/ml_10.mod ",10,-2.2700E-22,-7.9800E-01,-1.9000E-22,-7.9800E-01,,,,,
"Instances/nf3_10.mod ",10,-9.7100E+01,-1.4600E+02,-7.6900E+01,-1.4600E+02,,,,,
"Instances/osp_10.mod ",10,-1.9900E-07,-1.9100E-07,-1.0300E-04,-1.0300E-04,,,,,
"Instances/rb.mod ",10,1.5700E+04,8.4100E+01,7.6400E+02,8.4100E+01,,,,,
"Instances/rg_10.mod ",10,8.2700E+00,3.8900E+01,2.6000E+01,8.2700E+00,,,,,
"Instances/sal_10.mod ",10,1.6000E+00,8.0700E-01,7.0600E-01,7.0600E-01,,,,,
"Instances/sin_10.mod ",10,-3.5000E+00,-3.4900E+00,-3.5000E+00,-3.5000E+00,,,,,
"Instances/swf.mod ",10,-3.6800E+03,-3.1000E+03,-2.9000E+03,-3.6800E+03,,,,,
"Instances/zkv_10.mod ",10,6.4800E+00,4.4200E+00,2.8600E+01,4.4200E+00,,,,,
"Instances/nf3_15.mod ",15,1.0200E+03,-4.8700E+01,5.4300E+03,-4.8700E+01,,,,,
"Instances/st_17.mod ",17,6.2200E+08,4.3300E+08,8.7900E+07,8.7900E+07,,,,,
"Instances/mgw_20.mod ",20,1.9000E-01,1.6900E-01,1.8700E-01,1.6900E-01,,,,,
"Instances/nf3_20.mod ",20,7.1800E+03,1.8400E+04,2.1000E+04,7.1800E+03,,,,,
"Instances/osp_20.mod ",20,-1.9200E-22,-1.0400E-30,-2.8700E-14,-2.8700E-14,,,,,
"Instances/sin_20.mod ",20,-1.5500E+00,-2.2100E+00,-5.4900E-01,-2.2100E+00,,,,,
"Instances/zkv_20.mod ",20,1.1100E+02,1.9200E+02,1.7800E+02,1.1100E+02,,,,,
"Instances/nf3_25.mod ",25,8.8100E+04,1.4000E+05,1.5500E+05,8.8100E+04,,,,,
"Instances/ir4.mod ",30,7.8700E-01,2.0600E-01,1.0400E+00,2.0600E-01,,,,,
"Instances/nf3_30.mod ",30,2.5500E+05,2.1300E+05,1.7900E+05,1.7900E+05,,,,,
,,,,,,,,,,
,,1,1,1,,,,,,
,,1,0,0,,,,,,
,,1,1,0,,,,,,
,,0,0,1,,,,,,
,,1,0,0,,,,,,
,,1,0,0,,,,,,
,,1,1,1,,,,,,
