"FUNCAO","DIM","DE0","DE1","DE2","MIN",,,,,
"Instances/cm4.mod ",4,-4.4000E+00,-4.4000E+00,-4.4000E+00,-4.4000E+00,,,,"DE0",14
"Instances/ir0.mod ",4,6.0713E-01,8.9171E+00,2.5470E+00,6.0713E-01,,,,"DE1",8
"Instances/kl.mod ",4,3.0824E-04,3.0749E-04,3.0749E-04,3.0749E-04,,,,"DE2",31
"Instances/mcp.mod ",4,1.9075E-07,1.1877E-04,1.0603E-19,1.0603E-19,,,,,
"Instances/nf2.mod ",4,2.2538E-01,1.5924E-02,1.9541E-02,1.5924E-02,,,,,
"Instances/pwq.mod ",4,6.3953E-03,2.6609E-01,5.0343E-10,5.0343E-10,,,,,
"Instances/s10.mod ",4,-1.0536E+01,-1.0536E+01,-3.8354E+00,-1.0536E+01,,,,,
"Instances/s5.mod ",4,-1.0153E+01,-1.0153E+01,-1.0153E+01,-1.0153E+01,,,,,
"Instances/s7.mod ",4,-1.0403E+01,-3.7070E+00,-1.0403E+01,-1.0403E+01,,,,,
"Instances/wf.mod ",4,8.9479E-01,1.0669E+00,1.8928E-08,1.8928E-08,,,,,
"Instances/em_5.mod ",5,-3.4757E+00,-2.9273E+00,-3.4756E+00,-3.4757E+00,,,,,
"Instances/fx_5.mod ",5,-2.7007E+00,-1.7373E+00,-2.7010E+00,-2.7010E+00,,,,,
"Instances/ir3.mod ",5,0.0000E+00,1.0000E+00,0.0000E+00,0.0000E+00,,,,,
"Instances/lm2_5.mod ",5,8.0854E-07,1.1120E-02,1.6659E-04,8.0854E-07,,,,,
"Instances/ml_5.mod ",5,-9.6458E-01,-7.9787E-01,-5.1700E-01,-9.6458E-01,,,,,
"Instances/sal_5.mod ",5,9.9881E-02,2.9988E-01,9.9875E-02,9.9875E-02,,,,,
"Instances/zkv_5.mod ",5,2.8295E-03,2.4814E-01,8.3186E-11,8.3186E-11,,,,,
"Instances/h6.mod ",6,-3.3221E+00,-3.3101E+00,-3.3224E+00,-3.3224E+00,,,,,
"Instances/ptm.mod ",9,1.8812E+02,1.3866E+02,1.7381E+02,1.3866E+02,,,,,
"Instances/st_9.mod ",9,4.5990E+02,1.0412E+04,1.3459E+02,1.3459E+02,,,,,
"Instances/xor.mod ",9,8.8524E-01,8.6834E-01,8.6783E-01,8.6783E-01,,,,,
"Instances/ack.mod ",10,1.2236E+00,2.0713E+00,1.3401E+00,1.2236E+00,,,,,
"Instances/em_10.mod ",10,-7.3713E+00,-6.7815E+00,-5.0785E+00,-7.3713E+00,,,,,
"Instances/exp.mod ",10,6.7379E-03,6.7379E-03,6.7379E-03,6.7379E-03,,,,,
"Instances/fx_10.mod ",10,-3.8013E-01,-3.6894E-01,-1.4795E+00,-1.4795E+00,,,,,
"Instances/gw.mod ",10,3.2244E+00,1.5493E+01,3.7581E-01,3.7581E-01,,,,,
"Instances/lm2_10.mod ",10,1.4817E-02,5.9124E-01,1.8263E-02,1.4817E-02,,,,,
"Instances/mgw_10.mod ",10,4.5741E-02,3.3776E-02,5.4599E-02,3.3776E-02,,,,,
"Instances/ml_10.mod ",10,-1.8977E-22,-1.8975E-22,-1.8977E-22,-1.8977E-22,,,,,
"Instances/nf3_10.mod ",10,-9.5977E+01,4.2854E+02,-1.9176E+02,-1.9176E+02,,,,,
"Instances/osp_10.mod ",10,-8.7018E-09,-3.7383E-10,-4.6387E-06,-4.6387E-06,,,,,
"Instances/rb.mod ",10,3.6765E+04,1.4189E+05,1.1873E+01,1.1873E+01,,,,,
"Instances/rg_10.mod ",10,1.7708E+01,1.2802E+01,1.3315E+01,1.2802E+01,,,,,
"Instances/sal_10.mod ",10,3.3999E+00,2.1999E+00,2.9995E-01,2.9995E-01,,,,,
"Instances/sin_10.mod ",10,-2.1068E+00,-2.1152E+00,-3.4999E+00,-3.4999E+00,,,,,
"Instances/swf.mod ",10,-2.8339E+03,-3.2901E+03,-2.8396E+03,-3.2901E+03,,,,,
"Instances/zkv_10.mod ",10,2.9696E+01,7.8267E+01,9.8419E-02,9.8419E-02,,,,,
"Instances/nf3_15.mod ",15,1.1654E+04,7.2352E+03,1.6008E+03,1.6008E+03,,,,,
"Instances/st_17.mod ",17,1.3019E+08,1.6392E+08,7.7575E+07,7.7575E+07,,,,,
"Instances/mgw_20.mod ",20,1.0531E-01,1.1349E-01,1.4390E-01,1.0531E-01,,,,,
"Instances/nf3_20.mod ",20,5.2270E+04,6.7482E+04,6.1588E+03,6.1588E+03,,,,,
"Instances/osp_20.mod ",20,-2.9518E-14,-4.4478E-21,-1.2743E-15,-2.9518E-14,,,,,
"Instances/sin_20.mod ",20,-8.6426E-01,-1.8370E-01,-5.1676E-01,-8.6426E-01,,,,,
"Instances/zkv_20.mod ",20,1.2894E+02,9.9270E+01,2.2185E+01,2.2185E+01,,,,,
"Instances/nf3_25.mod ",25,1.4654E+05,4.9702E+04,1.0050E+04,1.0050E+04,,,,,
"Instances/ir4.mod ",30,7.9377E-01,1.0825E+00,2.6224E-01,2.6224E-01,,,,,
"Instances/nf3_30.mod ",30,7.4537E+05,4.6871E+05,1.9167E+05,1.9167E+05,,,,,
,,,,,,,,,,
,,1,1,1,,,,,,
,,1,0,0,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,1,0,,,,,,
,,0,0,1,,,,,,
,,1,0,0,,,,,,
,,0,1,1,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,1,0,0,,,,,,
,,0,0,1,,,,,,
,,1,0,1,,,,,,
,,1,0,0,,,,,,
,,1,0,0,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,1,0,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,1,0,0,,,,,,
,,1,0,0,,,,,,
,,1,1,1,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,1,0,0,,,,,,
,,0,1,0,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,1,0,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,1,0,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,1,0,0,,,,,,
,,0,0,1,,,,,,
,,1,0,0,,,,,,
,,1,0,0,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
,,0,0,1,,,,,,
