N_1	&1,4213	&-0,3459	&0,0000	&0,0000	&-3,4285	&0,0000	&0,3979	&0,0000	&-1,0316	&-2,2000	&-4,4000	&-24776,5183	&-3,3614	&-6,0786	&-1,0000	&0,0068	&-2,0218	&21,1858	&-2,1927	&-0,9357	&3,0000	&0,6588	&-3,8628	&-3,2727	&0,0000	&0,0000	&-4,8145	&-2,2675	&0,0000	&0,0000	&-2,3458	&0,0000	&102535,9106	&0,0000	&0,0005	&0,3548	&1,0543	&0,0020	&0,0003	&0,0000	&0,0669	&0,0071	&0,0580	&0,0292	&-1,9132	&0,0000	&0,0000	&0,0130	&0,0442	&0,1330	&-0,6470	&-0,0552	&0,0061	&0,0038	&0,0072	&175,7159	&2959,0795	&24565,4795	&123984,0013	&340875,8090	&-0,0003	&-0,0000	&0,9710	&160,9866	&0,0536	&8243,5363	&0,1926	&21,4279	&-6,5865	&-6,2386	&-5,4588	&0,1128	&0,7266	&-186,7309	&0,0078	&-1,0000	&-0,0000	&-3,1109	&-1,1474	&2165,7860	&88748758,4900	&0,0000	&-3134,5537	&-12,0312	&-1,6013	&1,4476	&0,8773	&0,0000	&0,0000	&10,5387	&103,7403	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3979	&-3,8628	&-0,8242	&893264,0074\\ 
N_10	&2,3919	&-0,3511	&0,3370	&0,1913	&-3,4284	&0,0023	&0,3992	&0,0005	&-1,0294	&-2,2000	&-4,4000	&-24703,2632	&-3,5585	&-4,4611	&-0,9930	&0,0067	&-2,0218	&0,0010	&-2,4016	&-0,6436	&3,0229	&5,8335	&-3,8622	&-3,2285	&0,0022	&0,0000	&-4,8145	&-2,2675	&0,0012	&0,0000	&-2,3457	&0,3968	&50364,7729	&0,0048	&0,0016	&0,0000	&0,9500	&0,0020	&0,0003	&0,0000	&0,0113	&0,0590	&0,4005	&0,0042	&-1,9131	&0,0000	&0,0000	&0,0041	&0,0688	&0,1421	&-0,4432	&-0,0010	&0,0020	&0,0150	&0,2798	&275,8180	&7551,3491	&52729,8600	&227840,8684	&703822,6867	&-0,0000	&-0,0000	&0,9391	&449,2024	&1,1275	&47485,0776	&0,2372	&59,2040	&-5,5504	&-5,9921	&-6,0939	&0,9653	&2,8397	&-181,8559	&0,0192	&-1,0000	&0,0001	&-2,4548	&-0,9253	&8192,8710	&447737822,6000	&0,0000	&-2275,8820	&-12,0311	&-1,6013	&9,0214	&0,8732	&0,0011	&0,5780	&12,8102	&124,4001	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3992	&-3,8622	&-0,8242	&4488095,1020\\ 
N_2	&1,6364	&-0,3524	&0,0000	&0,0000	&-3,4285	&0,0000	&0,3979	&0,0000	&-1,0316	&-2,2000	&-4,4000	&-24776,5183	&-3,7461	&-6,0318	&-1,0000	&0,0067	&-2,0218	&10,5929	&-2,4967	&-1,4914	&3,0000	&0,7519	&-3,8628	&-3,2762	&0,0000	&0,0000	&-4,8145	&-2,2675	&0,0000	&0,0000	&-2,3458	&0,0000	&8063,7051	&0,0000	&0,0000	&0,0000	&0,6148	&0,0020	&0,0003	&0,0000	&0,0000	&0,0037	&0,0112	&0,0000	&-1,9132	&0,0000	&0,0000	&0,0035	&0,0519	&0,1521	&-0,7902	&-0,2271	&0,0036	&0,0053	&0,0013	&-206,1177	&208,2441	&3819,7444	&18811,6756	&86280,1403	&-0,0083	&-0,0000	&0,9710	&135,7253	&0,0000	&148,3469	&0,0642	&43,4161	&-6,5132	&-6,1164	&-7,6752	&0,1188	&0,5282	&-186,6714	&0,0083	&-1,0000	&0,0000	&-3,3944	&-2,3775	&270,9731	&24105069,9700	&0,0000	&-3165,2254	&-12,0312	&-1,6013	&0,8253	&0,8739	&0,0000	&0,0000	&0,0879	&52,3969	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3979	&-3,8628	&-0,8242	&241944,9066\\ 
N_3	&1,5700	&-0,3524	&0,0000	&0,0000	&-3,4285	&0,0000	&0,3979	&0,0000	&-1,0316	&-2,2000	&-4,4000	&-24776,5180	&-3,8201	&-4,8849	&-1,0000	&0,0067	&-2,0218	&4,2372	&-2,1947	&-1,5715	&3,0000	&0,9234	&-3,8628	&-3,2493	&0,0000	&0,0000	&-4,8145	&-2,2675	&0,0000	&0,0000	&-2,3458	&0,0000	&4883,3059	&0,0000	&0,0000	&0,0000	&0,6197	&0,0020	&0,0003	&0,0000	&0,0000	&0,0043	&0,0287	&0,0000	&-1,9132	&0,0000	&0,0000	&0,0035	&0,0561	&0,1487	&-0,7380	&-0,2132	&0,0020	&0,0041	&0,0058	&-204,8607	&-0,6828	&5618,8237	&27811,5541	&97490,3527	&-0,0008	&-0,0000	&0,9581	&137,3200	&0,0000	&261,8554	&0,0006	&49,1380	&-6,3283	&-6,7315	&-7,0931	&0,1885	&0,6812	&-186,1078	&0,0086	&-1,0000	&0,0000	&-3,4899	&-2,0110	&329,5938	&47568272,5200	&0,0000	&-3145,3834	&-12,0312	&-1,6013	&0,9249	&0,8733	&0,0000	&0,0004	&0,3725	&56,3791	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3979	&-3,8628	&-0,8242	&476765,1427\\ 
N_4	&1,6842	&-0,3524	&0,0002	&0,0002	&-3,4285	&0,0000	&0,3979	&0,0000	&-1,0316	&-2,2000	&-4,4000	&-24776,4978	&-3,8219	&-4,8461	&-1,0000	&0,0067	&-2,0218	&2,1186	&-2,6899	&-1,5755	&3,0000	&1,0858	&-3,8628	&-3,2453	&0,0000	&0,0000	&-4,8145	&-2,2675	&0,0000	&0,0000	&-2,3458	&0,0006	&585,2059	&0,0000	&0,0000	&0,0000	&0,6335	&0,0020	&0,0003	&0,0000	&0,0000	&0,0086	&0,0863	&0,0000	&-1,9132	&0,0000	&0,0000	&0,0026	&0,0577	&0,1414	&-0,7410	&-0,1237	&0,0021	&0,0048	&0,0236	&-181,6993	&1012,2442	&8736,4508	&49734,4622	&174348,4259	&-0,0002	&-0,0000	&0,9454	&152,5658	&0,0011	&464,7577	&0,0035	&51,3465	&-6,2537	&-7,5704	&-7,3251	&0,2588	&0,9397	&-183,9793	&0,0097	&-1,0000	&0,0000	&-3,4143	&-1,7554	&792,1788	&71910011,5700	&0,0000	&-2926,7449	&-12,0312	&-1,6013	&1,9503	&0,8730	&0,0000	&0,0064	&0,9714	&70,6981	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3979	&-3,8628	&-0,8242	&721178,0712\\ 
N_5	&1,8168	&-0,3524	&0,0048	&0,0021	&-3,4285	&0,0000	&0,3979	&0,0000	&-1,0316	&-2,2000	&-4,4000	&-24776,2344	&-3,8839	&-4,4955	&-1,0000	&0,0067	&-2,0218	&0,0000	&-2,6007	&-1,3964	&3,0001	&1,4120	&-3,8628	&-3,2482	&0,0000	&0,0000	&-4,8145	&-2,2675	&0,0000	&0,0000	&-2,3458	&0,0071	&6475,2232	&0,0000	&0,0000	&0,0000	&0,6560	&0,0020	&0,0003	&0,0000	&0,0002	&0,0195	&0,1267	&0,0000	&-1,9132	&0,0000	&0,0000	&0,0012	&0,0589	&0,1520	&-0,7538	&-0,0342	&0,0020	&0,0044	&0,0584	&-140,2301	&1625,5248	&14337,1482	&74880,4238	&269710,0255	&-0,0001	&-0,0000	&0,9428	&176,0390	&0,0103	&1563,6851	&0,0231	&51,0061	&-6,2815	&-7,6252	&-8,4044	&0,3524	&1,2478	&-183,4109	&0,0103	&-1,0000	&0,0000	&-3,3433	&-1,6410	&1182,0990	&137696913,1000	&0,0000	&-2660,6862	&-12,0312	&-1,6013	&1,5988	&0,8726	&0,0000	&0,0215	&2,1694	&80,2390	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3979	&-3,8628	&-0,8242	&1380391,4951\\ 
N_6	&1,9251	&-0,3524	&0,0132	&0,0204	&-3,4285	&0,0001	&0,3979	&0,0000	&-1,0315	&-2,2000	&-4,4000	&-24774,4757	&-3,6030	&-4,6191	&-0,9996	&0,0067	&-2,0218	&0,0000	&-2,7890	&-1,0859	&3,0006	&1,9682	&-3,8627	&-3,2468	&0,0001	&0,0000	&-4,8145	&-2,2675	&0,0000	&0,0000	&-2,3458	&0,0226	&13001,8480	&0,0003	&0,0001	&0,0000	&0,7025	&0,0020	&0,0003	&0,0000	&0,0007	&0,0262	&0,1677	&0,0002	&-1,9132	&0,0000	&0,0000	&0,0020	&0,0593	&0,1464	&-0,6594	&-0,0112	&0,0020	&0,0062	&0,0957	&-99,7342	&2291,9521	&23912,1238	&99372,3563	&352771,0487	&-0,0000	&-0,0000	&0,9402	&202,7672	&0,0400	&5872,7588	&0,0518	&52,2715	&-6,8989	&-7,6742	&-7,5432	&0,4819	&1,5676	&-183,0919	&0,0102	&-1,0000	&0,0000	&-3,1927	&-1,4142	&2579,7254	&160963956,4000	&0,0000	&-2622,7158	&-12,0312	&-1,6013	&2,4655	&0,8742	&0,0000	&0,0703	&4,3638	&89,5815	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3979	&-3,8627	&-0,8242	&1614363,4379\\ 
N_7	&2,1075	&-0,3522	&0,0687	&0,0669	&-3,4285	&0,0004	&0,3981	&0,0000	&-1,0314	&-2,2000	&-4,4000	&-24768,3516	&-3,5515	&-4,5803	&-0,9992	&0,0067	&-2,0218	&0,0000	&-2,9944	&-0,9447	&3,0029	&2,4540	&-3,8627	&-3,2483	&0,0002	&0,0000	&-4,8145	&-2,2675	&0,0002	&0,0000	&-2,3458	&0,0692	&17828,3962	&0,0009	&0,0002	&0,0000	&0,7630	&0,0020	&0,0003	&0,0000	&0,0019	&0,0316	&0,2334	&0,0004	&-1,9132	&0,0000	&0,0000	&0,0028	&0,0691	&0,1460	&-0,5941	&-0,0079	&0,0021	&0,0070	&0,1487	&11,8792	&4349,9288	&29378,1745	&130469,9977	&441452,4848	&-0,0000	&-0,0000	&0,9550	&256,6663	&0,1419	&7797,0223	&0,1027	&55,3548	&-5,7974	&-6,7184	&-7,5380	&0,6152	&2,0119	&-180,3349	&0,0115	&-1,0000	&0,0000	&-2,9162	&-1,1292	&2919,3288	&223143388,4000	&0,0000	&-2477,5930	&-12,0312	&-1,6013	&4,1668	&0,8710	&0,0001	&0,1520	&6,0296	&93,7612	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3981	&-3,8627	&-0,8242	&2237505,0402\\ 
N_8	&2,2623	&-0,3522	&0,1154	&0,1088	&-3,4285	&0,0007	&0,3984	&0,0001	&-1,0308	&-2,2000	&-4,4000	&-24750,8739	&-3,4364	&-4,4435	&-0,9973	&0,0067	&-2,0218	&0,0001	&-2,5803	&-0,8088	&3,0044	&3,7378	&-3,8625	&-3,2511	&0,0008	&0,0000	&-4,8145	&-2,2675	&0,0004	&0,0000	&-2,3458	&0,1445	&24376,5594	&0,0015	&0,0005	&0,0000	&0,8167	&0,0020	&0,0003	&0,0000	&0,0045	&0,0474	&0,2996	&0,0011	&-1,9132	&0,0000	&0,0000	&0,0022	&0,0658	&0,1436	&-0,5748	&-0,0070	&0,0020	&0,0083	&0,1452	&72,2167	&5121,4218	&37642,7274	&184575,5358	&537811,7732	&-0,0000	&-0,0000	&0,9390	&275,3714	&0,2145	&18022,7862	&0,1463	&58,1648	&-5,7791	&-7,1189	&-7,1406	&0,7130	&2,2433	&-182,4693	&0,0138	&-1,0000	&0,0000	&-2,7640	&-1,2078	&4360,0239	&312808962,5000	&0,0000	&-2393,0852	&-12,0312	&-1,6013	&4,7679	&0,8730	&0,0002	&0,2512	&8,3109	&97,8723	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3984	&-3,8625	&-0,8242	&3135939,8550\\ 
N_9	&2,2497	&-0,3519	&0,2056	&0,1299	&-3,4285	&0,0016	&0,3987	&0,0002	&-1,0302	&-2,2000	&-4,4000	&-24744,5249	&-3,5595	&-4,4005	&-0,9968	&0,0067	&-2,0218	&0,0003	&-2,3350	&-0,6929	&3,0072	&5,0757	&-3,8624	&-3,2410	&0,0015	&0,0000	&-4,8145	&-2,2675	&0,0008	&0,0000	&-2,3458	&0,2378	&47842,2791	&0,0037	&0,0006	&0,0000	&0,8796	&0,0020	&0,0003	&0,0000	&0,0074	&0,0657	&0,3665	&0,0026	&-1,9132	&0,0000	&0,0000	&0,0032	&0,0650	&0,1296	&-0,4701	&-0,0011	&0,0020	&0,0130	&0,2201	&129,0981	&5341,8064	&47047,9163	&197787,0119	&629200,3612	&-0,0000	&-0,0000	&0,9336	&351,9308	&0,4876	&28887,7236	&0,2194	&57,1371	&-5,3655	&-6,5224	&-6,2371	&0,8155	&2,4927	&-179,0849	&0,0191	&-1,0000	&0,0001	&-2,6095	&-1,0676	&5377,4339	&360706057,5000	&0,0000	&-2399,9136	&-12,0312	&-1,6013	&7,6399	&0,8731	&0,0007	&0,4515	&9,2620	&102,6902	&-1,9060	&-1,1250	&-1,1250	&-1,0000	&-1,0000	&-1,0000	&0,3987	&-3,8624	&-0,8242	&3616408,0343\\ 

Problem	&N_1	&N_10	&N_2	&N_3	&N_4	&N_5	&N_6	&N_7	&N_8	&N_9\\ 
$G_{01}$	&1,4213	&2,3919	&1,6364	&1,5700	&1,6842	&1,8168	&1,9251	&2,1075	&2,2623	&2,2497\\ 
$G_{02}$	&-0,3459	&-0,3511	&-0,3524	&-0,3524	&-0,3524	&-0,3524	&-0,3524	&-0,3522	&-0,3522	&-0,3519\\ 
$G_{03}$	&0,0000	&0,3370	&0,0000	&0,0000	&0,0002	&0,0048	&0,0132	&0,0687	&0,1154	&0,2056\\ 
$G_{04}$	&0,0000	&0,1913	&0,0000	&0,0000	&0,0002	&0,0021	&0,0204	&0,0669	&0,1088	&0,1299\\ 
$G_{05}$	&-3,4285	&-3,4284	&-3,4285	&-3,4285	&-3,4285	&-3,4285	&-3,4285	&-3,4285	&-3,4285	&-3,4285\\ 
$G_{06}$	&0,0000	&0,0023	&0,0000	&0,0000	&0,0000	&0,0000	&0,0001	&0,0004	&0,0007	&0,0016\\ 
$G_{07}$	&0,3979	&0,3992	&0,3979	&0,3979	&0,3979	&0,3979	&0,3979	&0,3981	&0,3984	&0,3987\\ 
$G_{08}$	&0,0000	&0,0005	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0001	&0,0002\\ 
$G_{09}$	&-1,0316	&-1,0294	&-1,0316	&-1,0316	&-1,0316	&-1,0316	&-1,0315	&-1,0314	&-1,0308	&-1,0302\\ 
$G_{010}$	&-2,2000	&-2,2000	&-2,2000	&-2,2000	&-2,2000	&-2,2000	&-2,2000	&-2,2000	&-2,2000	&-2,2000\\ 
$G_{011}$	&-4,4000	&-4,4000	&-4,4000	&-4,4000	&-4,4000	&-4,4000	&-4,4000	&-4,4000	&-4,4000	&-4,4000\\ 
$G_{012}$	&-24776,5183	&-24703,2632	&-24776,5183	&-24776,5180	&-24776,4978	&-24776,2344	&-24774,4757	&-24768,3516	&-24750,8739	&-24744,5249\\ 
$G_{013}$	&-3,3614	&-3,5585	&-3,7461	&-3,8201	&-3,8219	&-3,8839	&-3,6030	&-3,5515	&-3,4364	&-3,5595\\ 
$G_{014}$	&-6,0786	&-4,4611	&-6,0318	&-4,8849	&-4,8461	&-4,4955	&-4,6191	&-4,5803	&-4,4435	&-4,4005\\ 
$G_{015}$	&-1,0000	&-0,9930	&-1,0000	&-1,0000	&-1,0000	&-1,0000	&-0,9996	&-0,9992	&-0,9973	&-0,9968\\ 
$G_{016}$	&0,0068	&0,0067	&0,0067	&0,0067	&0,0067	&0,0067	&0,0067	&0,0067	&0,0067	&0,0067\\ 
$G_{017}$	&-2,0218	&-2,0218	&-2,0218	&-2,0218	&-2,0218	&-2,0218	&-2,0218	&-2,0218	&-2,0218	&-2,0218\\ 
$G_{018}$	&21,1858	&0,0010	&10,5929	&4,2372	&2,1186	&0,0000	&0,0000	&0,0000	&0,0001	&0,0003\\ 
$G_{019}$	&-2,1927	&-2,4016	&-2,4967	&-2,1947	&-2,6899	&-2,6007	&-2,7890	&-2,9944	&-2,5803	&-2,3350\\ 
$G_{020}$	&-0,9357	&-0,6436	&-1,4914	&-1,5715	&-1,5755	&-1,3964	&-1,0859	&-0,9447	&-0,8088	&-0,6929\\ 
$G_{021}$	&3,0000	&3,0229	&3,0000	&3,0000	&3,0000	&3,0001	&3,0006	&3,0029	&3,0044	&3,0072\\ 
$G_{022}$	&0,6588	&5,8335	&0,7519	&0,9234	&1,0858	&1,4120	&1,9682	&2,4540	&3,7378	&5,0757\\ 
$G_{023}$	&-3,8628	&-3,8622	&-3,8628	&-3,8628	&-3,8628	&-3,8628	&-3,8627	&-3,8627	&-3,8625	&-3,8624\\ 
$G_{024}$	&-3,2727	&-3,2285	&-3,2762	&-3,2493	&-3,2453	&-3,2482	&-3,2468	&-3,2483	&-3,2511	&-3,2410\\ 
$G_{025}$	&0,0000	&0,0022	&0,0000	&0,0000	&0,0000	&0,0000	&0,0001	&0,0002	&0,0008	&0,0015\\ 
$G_{026}$	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000\\ 
$G_{027}$	&-4,8145	&-4,8145	&-4,8145	&-4,8145	&-4,8145	&-4,8145	&-4,8145	&-4,8145	&-4,8145	&-4,8145\\ 
$G_{028}$	&-2,2675	&-2,2675	&-2,2675	&-2,2675	&-2,2675	&-2,2675	&-2,2675	&-2,2675	&-2,2675	&-2,2675\\ 
$G_{029}$	&0,0000	&0,0012	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0002	&0,0004	&0,0008\\ 
$G_{030}$	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000\\ 
$G_{031}$	&-2,3458	&-2,3457	&-2,3458	&-2,3458	&-2,3458	&-2,3458	&-2,3458	&-2,3458	&-2,3458	&-2,3458\\ 
$G_{032}$	&0,0000	&0,3968	&0,0000	&0,0000	&0,0006	&0,0071	&0,0226	&0,0692	&0,1445	&0,2378\\ 
$G_{033}$	&102535,9106	&50364,7729	&8063,7051	&4883,3059	&585,2059	&6475,2232	&13001,8480	&17828,3962	&24376,5594	&47842,2791\\ 
$G_{034}$	&0,0000	&0,0048	&0,0000	&0,0000	&0,0000	&0,0000	&0,0003	&0,0009	&0,0015	&0,0037\\ 
$G_{035}$	&0,0005	&0,0016	&0,0000	&0,0000	&0,0000	&0,0000	&0,0001	&0,0002	&0,0005	&0,0006\\ 
$G_{036}$	&0,3548	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000\\ 
$G_{037}$	&1,0543	&0,9500	&0,6148	&0,6197	&0,6335	&0,6560	&0,7025	&0,7630	&0,8167	&0,8796\\ 
$G_{038}$	&0,0020	&0,0020	&0,0020	&0,0020	&0,0020	&0,0020	&0,0020	&0,0020	&0,0020	&0,0020\\ 
$G_{039}$	&0,0003	&0,0003	&0,0003	&0,0003	&0,0003	&0,0003	&0,0003	&0,0003	&0,0003	&0,0003\\ 
$G_{040}$	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000\\ 
$G_{041}$	&0,0669	&0,0113	&0,0000	&0,0000	&0,0000	&0,0002	&0,0007	&0,0019	&0,0045	&0,0074\\ 
$G_{042}$	&0,0071	&0,0590	&0,0037	&0,0043	&0,0086	&0,0195	&0,0262	&0,0316	&0,0474	&0,0657\\ 
$G_{043}$	&0,0580	&0,4005	&0,0112	&0,0287	&0,0863	&0,1267	&0,1677	&0,2334	&0,2996	&0,3665\\ 
$G_{044}$	&0,0292	&0,0042	&0,0000	&0,0000	&0,0000	&0,0000	&0,0002	&0,0004	&0,0011	&0,0026\\ 
$G_{045}$	&-1,9132	&-1,9131	&-1,9132	&-1,9132	&-1,9132	&-1,9132	&-1,9132	&-1,9132	&-1,9132	&-1,9132\\ 
$G_{046}$	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000\\ 
$G_{047}$	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000\\ 
$G_{048}$	&0,0130	&0,0041	&0,0035	&0,0035	&0,0026	&0,0012	&0,0020	&0,0028	&0,0022	&0,0032\\ 
$G_{049}$	&0,0442	&0,0688	&0,0519	&0,0561	&0,0577	&0,0589	&0,0593	&0,0691	&0,0658	&0,0650\\ 
$G_{050}$	&0,1330	&0,1421	&0,1521	&0,1487	&0,1414	&0,1520	&0,1464	&0,1460	&0,1436	&0,1296\\ 
$G_{051}$	&-0,6470	&-0,4432	&-0,7902	&-0,7380	&-0,7410	&-0,7538	&-0,6594	&-0,5941	&-0,5748	&-0,4701\\ 
$G_{052}$	&-0,0552	&-0,0010	&-0,2271	&-0,2132	&-0,1237	&-0,0342	&-0,0112	&-0,0079	&-0,0070	&-0,0011\\ 
$G_{053}$	&0,0061	&0,0020	&0,0036	&0,0020	&0,0021	&0,0020	&0,0020	&0,0021	&0,0020	&0,0020\\ 
$G_{054}$	&0,0038	&0,0150	&0,0053	&0,0041	&0,0048	&0,0044	&0,0062	&0,0070	&0,0083	&0,0130\\ 
$G_{055}$	&0,0072	&0,2798	&0,0013	&0,0058	&0,0236	&0,0584	&0,0957	&0,1487	&0,1452	&0,2201\\ 
$G_{056}$	&175,7159	&275,8180	&-206,1177	&-204,8607	&-181,6993	&-140,2301	&-99,7342	&11,8792	&72,2167	&129,0981\\ 
$G_{057}$	&2959,0795	&7551,3491	&208,2441	&-0,6828	&1012,2442	&1625,5248	&2291,9521	&4349,9288	&5121,4218	&5341,8064\\ 
$G_{058}$	&24565,4795	&52729,8600	&3819,7444	&5618,8237	&8736,4508	&14337,1482	&23912,1238	&29378,1745	&37642,7274	&47047,9163\\ 
$G_{059}$	&123984,0013	&227840,8684	&18811,6756	&27811,5541	&49734,4622	&74880,4238	&99372,3563	&130469,9977	&184575,5358	&197787,0119\\ 
$G_{060}$	&340875,8090	&703822,6867	&86280,1403	&97490,3527	&174348,4259	&269710,0255	&352771,0487	&441452,4848	&537811,7732	&629200,3612\\ 
$G_{061}$	&-0,0003	&-0,0000	&-0,0083	&-0,0008	&-0,0002	&-0,0001	&-0,0000	&-0,0000	&-0,0000	&-0,0000\\ 
$G_{062}$	&-0,0000	&-0,0000	&-0,0000	&-0,0000	&-0,0000	&-0,0000	&-0,0000	&-0,0000	&-0,0000	&-0,0000\\ 
$G_{063}$	&0,9710	&0,9391	&0,9710	&0,9581	&0,9454	&0,9428	&0,9402	&0,9550	&0,9390	&0,9336\\ 
$G_{064}$	&160,9866	&449,2024	&135,7253	&137,3200	&152,5658	&176,0390	&202,7672	&256,6663	&275,3714	&351,9308\\ 
$G_{065}$	&0,0536	&1,1275	&0,0000	&0,0000	&0,0011	&0,0103	&0,0400	&0,1419	&0,2145	&0,4876\\ 
$G_{066}$	&8243,5363	&47485,0776	&148,3469	&261,8554	&464,7577	&1563,6851	&5872,7588	&7797,0223	&18022,7862	&28887,7236\\ 
$G_{067}$	&0,1926	&0,2372	&0,0642	&0,0006	&0,0035	&0,0231	&0,0518	&0,1027	&0,1463	&0,2194\\ 
$G_{068}$	&21,4279	&59,2040	&43,4161	&49,1380	&51,3465	&51,0061	&52,2715	&55,3548	&58,1648	&57,1371\\ 
$G_{069}$	&-6,5865	&-5,5504	&-6,5132	&-6,3283	&-6,2537	&-6,2815	&-6,8989	&-5,7974	&-5,7791	&-5,3655\\ 
$G_{070}$	&-6,2386	&-5,9921	&-6,1164	&-6,7315	&-7,5704	&-7,6252	&-7,6742	&-6,7184	&-7,1189	&-6,5224\\ 
$G_{071}$	&-5,4588	&-6,0939	&-7,6752	&-7,0931	&-7,3251	&-8,4044	&-7,5432	&-7,5380	&-7,1406	&-6,2371\\ 
$G_{072}$	&0,1128	&0,9653	&0,1188	&0,1885	&0,2588	&0,3524	&0,4819	&0,6152	&0,7130	&0,8155\\ 
$G_{073}$	&0,7266	&2,8397	&0,5282	&0,6812	&0,9397	&1,2478	&1,5676	&2,0119	&2,2433	&2,4927\\ 
$G_{074}$	&-186,7309	&-181,8559	&-186,6714	&-186,1078	&-183,9793	&-183,4109	&-183,0919	&-180,3349	&-182,4693	&-179,0849\\ 
$G_{075}$	&0,0078	&0,0192	&0,0083	&0,0086	&0,0097	&0,0103	&0,0102	&0,0115	&0,0138	&0,0191\\ 
$G_{076}$	&-1,0000	&-1,0000	&-1,0000	&-1,0000	&-1,0000	&-1,0000	&-1,0000	&-1,0000	&-1,0000	&-1,0000\\ 
$G_{077}$	&-0,0000	&0,0001	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0001\\ 
$G_{078}$	&-3,1109	&-2,4548	&-3,3944	&-3,4899	&-3,4143	&-3,3433	&-3,1927	&-2,9162	&-2,7640	&-2,6095\\ 
$G_{079}$	&-1,1474	&-0,9253	&-2,3775	&-2,0110	&-1,7554	&-1,6410	&-1,4142	&-1,1292	&-1,2078	&-1,0676\\ 
$G_{080}$	&2165,7860	&8192,8710	&270,9731	&329,5938	&792,1788	&1182,0990	&2579,7254	&2919,3288	&4360,0239	&5377,4339\\ 
$G_{081}$	&88748758,4900	&447737822,6000	&24105069,9700	&47568272,5200	&71910011,5700	&137696913,1000	&160963956,4000	&223143388,4000	&312808962,5000	&360706057,5000\\ 
$G_{082}$	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000	&0,0000\\ 
$G_{083}$	&-3134,5537	&-2275,8820	&-3165,2254	&-3145,3834	&-2926,7449	&-2660,6862	&-2622,7158	&-2477,5930	&-2393,0852	&-2399,9136\\ 
$G_{084}$	&-12,0312	&-12,0311	&-12,0312	&-12,0312	&-12,0312	&-12,0312	&-12,0312	&-12,0312	&-12,0312	&-12,0312\\ 
$G_{085}$	&-1,6013	&-1,6013	&-1,6013	&-1,6013	&-1,6013	&-1,6013	&-1,6013	&-1,6013	&-1,6013	&-1,6013\\ 
$G_{086}$	&1,4476	&9,0214	&0,8253	&0,9249	&1,9503	&1,5988	&2,4655	&4,1668	&4,7679	&7,6399\\ 
$G_{087}$	&0,8773	&0,8732	&0,8739	&0,8733	&0,8730	&0,8726	&0,8742	&0,8710	&0,8730	&0,8731\\ 
