FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;1.464768862
Instances/ap.mod ;;2;-0.3523860738
Instances/bf1.mod ;;2;4.190196577e-16
Instances/bf2.mod ;;2;1.378825369e-16
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;2.580948684e-06
Instances/bp.mod ;;2;0.3978874151
Instances/cb3.mod ;;2;6.280790443e-20
Instances/cb6.mod ;;2;-1.031628452
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51834
Instances/em_10.mod ;;10;-5.16552127
Instances/em_5.mod ;;5;-4.086200949
Instances/ep.mod ;;2;-1
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;8.474315013
Instances/fx_10.mod ;;10;-1.56068291
Instances/fx_5.mod ;;5;-2.717511025
Instances/gp.mod ;;2;3
Instances/gw.mod ;;10;0.8409724984
Instances/h3.mod ;;3;-3.862782148
Instances/h6.mod ;;6;-3.275720308
Instances/hm1.mod ;;1;3.845378007e-15
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;1.397811371e-14
Instances/hm5.mod ;;3;2.245092418e-16
Instances/hm.mod ;;2;4.782598365e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;1.509007886e-12
Instances/ir0.mod ;;4;0.1233173587
Instances/ir1.mod ;;3;2.354149141e-14
Instances/ir2.mod ;;2;2.777602082e-13
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 2488683876;
;30;0.5124580393
Instances/ir5.mod ;;2;0.001996495738
Instances/kl.mod ;;4;0.0003074860976
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;7.011905529e-11
Instances/lm2_10.mod ;;10;0.0459237846
Instances/lm2_5.mod ;;5;0.002456040365
Instances/lv8.mod ;;3;3.130438376e-14
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;2.548515172e-25
Instances/mgp.mod ;;2;1.773224949e-09
Instances/mgw_10.mod ;;10;0.07937922625
Instances/mgw_20.mod ;;20;0.188455213
Instances/mgw_2.mod ;;2;0.005895570838
Instances/ml_10.mod ;;10;-0.2711180209
Instances/ml_5.mod ;;5;-0.7957913144
Instances/mr.mod ;;3;0.002022119116
Instances/mrp.mod ;;2;0.003365510197
Instances/nf2.mod ;;4;0.1105564438
Instances/nf3_10.mod ;;10;-199.8570613
Instances/nf3_15.mod ;;15;718.7286824
Instances/nf3_20.mod ;;20;9473.342729
Instances/nf3_25.mod ;;25;54088.06327
Instances/nf3_30.mod ;;30;153198.5701
Instances/osp_10.mod ;;10;-0.0003639529469
Instances/osp_20.mod ;;20;-3.851973032e-16
Instances/prd.mod ;;2;0.9623949124
Instances/ptm.mod ;;9;96.54073677
Instances/pwq.mod ;;4;8.45948708e-09
Instances/rb.mod ;;10;49.94328485
Instances/rg_10.mod ;;10;43.0417629
Instances/rg_2.mod ;;2;0.02447546232
Instances/s10.mod ;;4;-9.738554963
Instances/s5.mod ;;4;-7.540479026
Instances/s7.mod ;;4;-8.859245424
Instances/sal_10.mod ;;10;0.7671590813
Instances/sal_5.mod ;;5;0.1384947294
Instances/sbt.mod ;;2;-185.5591065
Instances/sf1.mod ;;2;0.008851556488
Instances/shv1.mod ;;1;-0.9999999962
Instances/shv2.mod ;;2;1.706505946e-11
Instances/sin_10.mod ;;10;-3.426100757
Instances/sin_20.mod ;;20;-2.394100666
Instances/st_17.mod ;;17;104920452.4
Instances/st_9.mod ;;9;924.3986289
Instances/stg.mod ;;1;0
Instances/swf.mod ;;10;-2803.019739
Instances/sz.mod ;;1;-12.03124808
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;0.5879712141
Instances/xor.mod ;;9;0.8733348849
Instances/zkv_10.mod ;;10;1.961123875
Instances/zkv_20.mod ;;20;156.1577989
Instances/zkv_2.mod ;;2;1.978255077e-19
Instances/zkv_5.mod ;;5;5.941225115e-06
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.116000146
Instances/zlk2b.mod ;;1;-1.124999997
Instances/zlk3a.mod ;;1;-0.9999999829
Instances/zlk3b.mod ;;1;-0.9999999969
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.397887751
Instances/zlk5.mod ;;3;-3.862782148
Instances/zzs.mod ;;1;-0.8242393985
