FUNCAO;DIMENSAO;MEDIA
Instances/ack.mod ;;10;1.3066603
Instances/ap.mod ;;2;-0.3523860737
Instances/bf1.mod ;;2;9.099802428e-09
Instances/bf2.mod ;;2;1.100399279e-08
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;9.972937342e-12
Instances/bp.mod ;;2;0.3978873578
Instances/cb3.mod ;;2;3.546340603e-11
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51834
Instances/em_10.mod ;;10;-5.299647002
Instances/em_5.mod ;;5;-3.215472653
Instances/ep.mod ;;2;-0.9999999999
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;5.081482126
Instances/fx_10.mod ;;10;-1.261524289
Instances/fx_5.mod ;;5;-2.6467494
Instances/gp.mod ;;2;3.000000003
Instances/gw.mod ;;10;0.3125936411
Instances/h3.mod ;;3;-3.862782147
Instances/h6.mod ;;6;-3.282805668
Instances/hm1.mod ;;1;9.472653207e-15
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;4.27286362e-10
Instances/hm5.mod ;;3;1.006313309e-11
Instances/hm.mod ;;2;4.657090056e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;0.0002934790752
Instances/ir0.mod ;;4;30267.74729
Instances/ir1.mod ;;3;4.164306782e-10
Instances/ir2.mod ;;2;0.001243864876
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 3362501481;
;30;0.5206326618
Instances/ir5.mod ;;2;0.00199803366
Instances/kl.mod ;;4;0.0003182267411
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;2.48795893e-08
Instances/lm2_10.mod ;;10;0.05254588865
Instances/lm2_5.mod ;;5;0.006272452042
Instances/lv8.mod ;;3;4.667879426e-10
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;1.268248888e-07
Instances/mgp.mod ;;2;1.852563543e-09
Instances/mgw_10.mod ;;10;0.03912554301
Instances/mgw_20.mod ;;20;0.1198377918
Instances/mgw_2.mod ;;2;0.005730606091
Instances/ml_10.mod ;;10;-0.02743487932
Instances/ml_5.mod ;;5;-0.5713004583
Instances/mr.mod ;;3;0.00741239185
Instances/mrp.mod ;;2;0.003839535638
Instances/nf2.mod ;;4;0.0495882843
Instances/nf3_10.mod ;;10;-112.7339236
Instances/nf3_15.mod ;;15;742.073588
Instances/nf3_20.mod ;;20;6450.066823
Instances/nf3_25.mod ;;25;34284.90745
Instances/nf3_30.mod ;;30;123229.4357
Instances/osp_10.mod ;;10;-0.002493658812
Instances/osp_20.mod ;;20;-3.063747245e-10
Instances/prd.mod ;;2;0.9532543892
Instances/ptm.mod ;;9;225.0721264
Instances/pwq.mod ;;4;0.8636327704
Instances/rb.mod ;;10;694.0718227
Instances/rg_10.mod ;;10;22.8562314
Instances/rg_2.mod ;;2;0.0666074682
Instances/s10.mod ;;4;-5.863156798
Instances/s5.mod ;;4;-6.11934176
Instances/s7.mod ;;4;-6.80999306
Instances/sal_10.mod ;;10;0.9468437082
Instances/sal_5.mod ;;5;0.1715725746
Instances/sbt.mod ;;2;-186.7309088
Instances/sf1.mod ;;2;0.007289085678
Instances/shv1.mod ;;1;-0.9999999608
Instances/shv2.mod ;;2;1.653799683e-11
Instances/sin_10.mod ;;10;-3.392038869
Instances/sin_20.mod ;;20;-2.509896236
Instances/st_17.mod ;;17;197763720.3
Instances/st_9.mod ;;9;4471.984192
Instances/stg.mod ;;1;6.740128169e-14
Instances/swf.mod ;;10;-2670.21605
Instances/sz.mod ;;1;-12.03124944
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;2.438133483
Instances/xor.mod ;;9;0.8750868338
Instances/zkv_10.mod ;;10;7.121642146
Instances/zkv_20.mod ;;20;178.5317886
Instances/zkv_2.mod ;;2;1.230107713e-10
Instances/zkv_5.mod ;;5;6.30309025e-05
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.125
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-1
Instances/zlk3b.mod ;;1;-0.9999999924
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.3978876938
Instances/zlk5.mod ;;3;-3.862782147
Instances/zzs.mod ;;1;-0.8242393985
