ack 0.05485087313
ap -0.3523860738
bf1 1
bf2 1.00704
bhs -3.428493842
bl 1
bp 0.3978873577
cb3 1
cb6 -1.031628453
cm2 -2.2
cm4 -4.4
da -24776.51834
em_10 -6.499052957
em_5 -4.126411853
ep -1
exp 0.006737946999
fls -2.021806783
fr 30.6601
fx_10 -1.512762021
fx_5 -2.447586564
gp 3
gw 0.3888946317
h3 -3.862782148
h6 -3.278974299
hm1 1
hm2 -4.81446989
hm3 -2.267543938
hm4 1
hm5 1
hm 1
hsk -2.345811576
hv 1
ir0 1.09667
ir1 1
ir2 1
ir3 1
ir4 1.15111
ir5 1.002
kl 1.00031
ks 1
lm1 1
lm2_10 1.00269
lm2_5 1.00009
lv8 1
mc -0.913223
mcp 1
mgp 1
mgw_10 1.07649
mgw_20 1.17766
mgw_2 1.00749
ml_10 0.856697
ml_5 0.235742
mr 1.0044
mrp 1.00287
nf2 1.02451
nf3_10 -180.464
nf3_15 720.129
nf3_20 9002.74
nf3_25 35505.1
nf3_30 121297
osp_10 0.99999
osp_20 1
prd 1.9653
ptm 75.6118
pwq 1
rb 61.3801
rg_10 1.674
rg_2 1.06506
s10 -6.34828
s5 -5.4836
s7 -5.85426
sal_10 1.98954
sal_5 1.16257
sbt -185.724
sf1 1.00761
shv1 1
shv2 1
sin_10 -1.83948
sin_20 -0.642329
st_17 8.90498e+07
st_9 355.579
stg 1
swf -3223.69
sz -11.0312
szzs -0.601308
wf 1.54638
xor 1.87327
zkv_10 1.6854
zkv_20 175.257
zkv_2 1
zkv_5 1
zlk1 -0.794674
zlk2a -0.125
zlk2b -0.125
zlk3a 1
zlk3b 1
zlk3c 1
zlk4 1.39789
zlk5 -2.86278
zzs 0.175761
