"PROBLEMA","SEMENTE","PSO-PS","ES-PS 1","ES-PS 2","ES-PS 3"," MEDIA PSO-PS"," MEDIA ES-PS 1"," MEDIA ES-PS 2"," MEDIA ES-PS 3"
1,1,"4,06892","0,0901824","57,1461","7,53531","5,1313866667","0,03593967","9186,8662666667","4996,03777"
1,2,"9,73269","0,00322491","31,9527","190,478",,,,
1,3,"1,59255","0,0144117","27471,5","14790,1",,,,
2,1,"7,88004","8,11004","110,814","97,2862","3,4636293333","3,6724833333","129,708","105,8968"
2,2,"0,442288","0,53873","130,946","122,611",,,,
2,3,"2,06856","2,36868","147,364","97,7932",,,,
3,1,"2,54515","3,49463",363598,350902,"1704,18205","1590,3455433333","309382,966666667","212674,333333333"
3,2,"5002,49","4677,24","44165,9",165899,,,,
3,3,"107,511","90,302",520385,121222,,,,
4,1,"0,0877525","0,0982694","96,7399","77,0891","1,1794391667","1,1501294667","93,6369333333","82,1024"
4,2,"3,08298","2,98098","86,7232","88,3677",,,,
4,3,"0,367585","0,371139","97,4477","80,8504",,,,
5,1,"3037,83","3037,03",3038,"133,599","1129,0774","1128,7818666667","1554,4006666667","878,0103333333"
5,2,"324,779","324,193","915,694","2355,88",,,,
5,3,"24,6232","25,1226","709,508","144,552",,,,
6,1,-1850,-2343,-601,-1106,-1193,-1787,"-737,3333333333","-824,6666666667"
6,2,-1105,-1484,-810,-496,,,,
6,3,-624,-1534,-801,-872,,,,
7,1,"0,646056","1,02723","2,59705","6,5336","0,5983526667","0,7230803333","9,0704566667","4,6667666667"
7,2,"0,143612","0,193524","3,15362","5,31998",,,,
7,3,"1,00539","0,948487","21,4607","2,14672",,,,
8,1,"-8493,21","-8489,56","-6477,83","-4846,19","-7860,8233333333","-7863,62","-6211,92","-5385,5033333333"
8,2,-7988,"-7999,88","-7946,33","-7259,22",,,,
8,3,"-7101,26","-7101,42","-4211,6","-4051,1",,,,
9,1,"35,8194","36,7828","235,859","159,904","65,6674666667","66,5827666667","282,364","181,0746666667"
9,2,"67,657","68,5429","322,812","186,319",,,,
9,3,"93,526","94,4226","288,421","197,001",,,,
10,1,"3,22991","3,23539","19,957","19,341","2,76233","2,7411","19,9384666667","19,7125666667"
10,2,"2,01556","2,02417","20,3224","19,7528",,,,
10,3,"3,04152","2,96374","19,536","20,0439",,,,
11,1,"0,00849452","0,00841643","27,5515","0,622473","1,0401652067","0,33869151","65,64753","17,798771"
11,2,"0,0152611","0,0154341","1,73109","1,19874",,,,
11,3,"3,09674","0,992224","167,66","51,5751",,,,
12,1,"4,47947E-026","4,47947E-026","4,47947E-026","4,47947E-026","4,47947E-026","4,47947E-026","4,47947E-026","4,47947E-026"
12,2,"4,47947E-026","4,47947E-026","4,47947E-026","4,47947E-026",,,,
12,3,"4,47947E-026","4,47947E-026","4,47947E-026","4,47947E-026",,,,
13,1,"19,6305","11,4903","25,6589","10,5284","9,4792966667","5,955511","29,5213333333","14,6500333333"
13,2,"1,09545","0,268543","24,0902","12,7758",,,,
13,3,"7,71194","6,10769","38,8149","20,6459",,,,
14,1,"0,000782655","0,000782886","0,00958004","0,00894109","0,0004658783","0,0004665287","0,0041674433","0,0135570633"
14,2,"0,000307486","0,000308382","0,00130259","0,0110154",,,,
14,3,"0,000307494","0,000308318","0,0016197","0,0207147",,,,
