FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;2.007993988
Instances/ap.mod ;;2;-0.3523860738
Instances/bf1.mod ;;2;0
Instances/bf2.mod ;;2;0
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;1.244131119e-22
Instances/bp.mod ;;2;0.3978873577
Instances/cb3.mod ;;2;1.485846103e-41
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51834
Instances/em_10.mod ;;10;-5.351678936
Instances/em_5.mod ;;5;-3.471458807
Instances/ep.mod ;;2;-1
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;65.67594123
Instances/fx_10.mod ;;10;-0.380127116
Instances/fx_5.mod ;;5;-2.700737343
Instances/gp.mod ;;2;3
Instances/gw.mod ;;10;3.225142358
Instances/h3.mod ;;3;-3.862782148
Instances/h6.mod ;;6;-3.322028401
Instances/hm1.mod ;;1;0
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;6.310887242e-30
Instances/hm5.mod ;;3;6.058547595e-35
Instances/hm.mod ;;2;4.651012242e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;2.692926447e-32
Instances/ir0.mod ;;4;0.6071261089
Instances/ir1.mod ;;3;1.922420002e-32
Instances/ir2.mod ;;2;1.37200365e-25
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 1583995898;
;30;1.115198872
Instances/ir5.mod ;;2;0.001998001997
Instances/kl.mod ;;4;0.0003082352244
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;1.490412827e-20
Instances/lm2_10.mod ;;10;0.2122539685
Instances/lm2_5.mod ;;5;1.941208786e-05
Instances/lv8.mod ;;3;2.179412396e-12
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;1.907491429e-07
Instances/mgp.mod ;;2;2.777588773e-11
Instances/mgw_10.mod ;;10;0.04574147945
Instances/mgw_20.mod ;;20;0.2579565702
Instances/mgw_2.mod ;;2;0.004931103875
Instances/ml_10.mod ;;10;-1.897648709e-22
Instances/ml_5.mod ;;5;-0.9640730531
Instances/mr.mod ;;3;0.001904962049
Instances/mrp.mod ;;2;0.007415391415
Instances/nf2.mod ;;4;0.4387852655
Instances/nf3_10.mod ;;10;-95.97644155
Instances/nf3_15.mod ;;15;11654.25101
Instances/nf3_20.mod ;;20;52280.15171
Instances/nf3_25.mod ;;25;146685.809
Instances/nf3_30.mod ;;30;745570.6168
Instances/osp_10.mod ;;10;-8.62827009e-09
Instances/osp_20.mod ;;20;-9.748238767e-16
Instances/prd.mod ;;2;0.9000105075
Instances/ptm.mod ;;9;188.1192379
Instances/pwq.mod ;;4;0.00639532904
Instances/rb.mod ;;10;36765.58
Instances/rg_10.mod ;;10;25.19779901
Instances/rg_2.mod ;;2;1.393718563e-08
Instances/s10.mod ;;4;-10.53640981
Instances/s5.mod ;;4;-10.15318796
Instances/s7.mod ;;4;-10.40284845
Instances/sal_10.mod ;;10;3.402413806
Instances/sal_5.mod ;;5;0.1001635834
Instances/sbt.mod ;;2;-186.7292474
Instances/sf1.mod ;;2;0.006616277164
Instances/shv1.mod ;;1;-1
Instances/shv2.mod ;;2;1.193570271e-25
Instances/sin_10.mod ;;10;-2.106799013
Instances/sin_20.mod ;;20;-0.8640941641
Instances/st_17.mod ;;17;132491260.6
Instances/st_9.mod ;;9;613.6425921
Instances/stg.mod ;;1;0
Instances/swf.mod ;;10;-1843.896573
Instances/sz.mod ;;1;-12.03124944
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;0.9085418454
Instances/xor.mod ;;9;0.8852394273
Instances/zkv_10.mod ;;10;29.69771464
Instances/zkv_20.mod ;;20;191.169613
Instances/zkv_2.mod ;;2;5.661443673e-40
Instances/zkv_5.mod ;;5;0.002829529075
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.125
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-0.9999999999
Instances/zlk3b.mod ;;1;-0.9999999785
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.3978876938
Instances/zlk5.mod ;;3;-3.862782148
Instances/zzs.mod ;;1;-0.8242393985
