FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;1.934188457
Instances/ap.mod ;;2;-0.3523860738
Instances/bf1.mod ;;2;0
Instances/bf2.mod ;;2;0
Instances/bhs.mod ;;2;-3.428493842
Instances/bl.mod ;;2;5.127595884e-29
Instances/bp.mod ;;2;0.973000822
Instances/cb3.mod ;;2;1.155980065e-32
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51834
Instances/em_10.mod ;;10;-5.072257068
Instances/em_5.mod ;;5;-4.494778648
Instances/ep.mod ;;2;-1
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;0
Instances/fx_10.mod ;;10;-0.5889587225
Instances/fx_5.mod ;;5;-2.167138466
Instances/gp.mod ;;2;4.363176279
Instances/gw.mod ;;10;2.812523245
Instances/h3.mod ;;3;-3.862782148
Instances/h6.mod ;;6;-3.322367622
Instances/hm1.mod ;;1;0
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;1.106287884e-23
Instances/hm5.mod ;;3;1.560618097e-21
Instances/hm.mod ;;2;4.651012242e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;5.533835312e-19
Instances/ir0.mod ;;4;0.000440970252
Instances/ir1.mod ;;3;1.636236147e-19
Instances/ir2.mod ;;2;0.009584686242
Instances/ir3.mod ;;5;2
Instances/ir4.mod ;option randseed 439372594;
;30;0.5736074473
Instances/ir5.mod ;;2;0.001996007983
Instances/kl.mod ;;4;0.0003074860061
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;3.643810479e-17
Instances/lm2_10.mod ;;10;0.04283575191
Instances/lm2_5.mod ;;5;0.01896494411
Instances/lv8.mod ;;3;3.336048344e-22
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;4.194833249e-05
Instances/mgp.mod ;;2;2.777588773e-11
Instances/mgw_10.mod ;;10;0.06721682762
Instances/mgw_20.mod ;;20;0.1898852893
Instances/mgw_2.mod ;;2;7.052149474e-06
Instances/ml_10.mod ;;10;-2.271975878e-22
Instances/ml_5.mod ;;5;-0.9079998928
Instances/mr.mod ;;3;0.04690656159
Instances/mrp.mod ;;2;4.420745524e-18
Instances/nf2.mod ;;4;0.0479456827
Instances/nf3_10.mod ;;10;-78.41020142
Instances/nf3_15.mod ;;15;3710.595581
Instances/nf3_20.mod ;;20;37484.15627
Instances/nf3_25.mod ;;25;256224.8243
Instances/nf3_30.mod ;;30;703311.7828
Instances/osp_10.mod ;;10;-3.614452155e-10
Instances/osp_20.mod ;;20;-5.622809914e-28
Instances/prd.mod ;;2;1
Instances/ptm.mod ;;9;112.3518376
Instances/pwq.mod ;;4;3.260764527e-10
Instances/rb.mod ;;10;26704.92402
Instances/rg_10.mod ;;10;41.69906793
Instances/rg_2.mod ;;2;0
Instances/s10.mod ;;4;-10.53640978
Instances/s5.mod ;;4;-2.680987495
Instances/s7.mod ;;4;-10.40294057
Instances/sal_10.mod ;;10;1.847862446
Instances/sal_5.mod ;;5;0.2006050843
Instances/sbt.mod ;;2;-186.7309088
Instances/sf1.mod ;;2;0.009734150752
Instances/shv1.mod ;;1;-1
Instances/shv2.mod ;;2;-3.552713679e-15
Instances/sin_10.mod ;;10;-3.399024151
Instances/sin_20.mod ;;20;-0.237801824
Instances/st_17.mod ;;17;1205462778
Instances/st_9.mod ;;9;2334.555401
Instances/stg.mod ;;1;0
Instances/swf.mod ;;10;-2963.178735
Instances/sz.mod ;;1;-12.03124944
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;2.543494061
Instances/xor.mod ;;9;0.8678270355
Instances/zkv_10.mod ;;10;19.07893103
Instances/zkv_20.mod ;;20;170.719567
Instances/zkv_2.mod ;;2;2.312068258e-29
Instances/zkv_5.mod ;;5;0.02604835352
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.125
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-1
Instances/zlk3b.mod ;;1;-0.9979153084
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.9730009538
Instances/zlk5.mod ;;3;-3.862782148
Instances/zzs.mod ;;1;-0.8242393985
