FUNCAO;DIMENSAO;MEDIA
Instances/ack.mod ;;10;nan
Instances/ap.mod ;;2;nan
Instances/bf1.mod ;;2;nan
Instances/bf2.mod ;;2;nan
Instances/bhs.mod ;;2;nan
Instances/bl.mod ;;2;nan
Instances/bp.mod ;;2;nan
Instances/cb3.mod ;;2;nan
Instances/cb6.mod ;;2;nan
Instances/cm2.mod ;;2;nan
Instances/cm4.mod ;;4;nan
Instances/da.mod ;;2;nan
Instances/em_10.mod ;;10;nan
Instances/em_5.mod ;;5;nan
Instances/ep.mod ;;2;nan
Instances/exp.mod ;;10;nan
Instances/fls.mod ;;2;nan
Instances/fr.mod ;;2;nan
Instances/fx_10.mod ;;10;nan
Instances/fx_5.mod ;;5;nan
Instances/gp.mod ;;2;nan
Instances/gw.mod ;;10;nan
Instances/h3.mod ;;3;nan
Instances/h6.mod ;;6;nan
Instances/hm1.mod ;;1;nan
Instances/hm2.mod ;;1;nan
Instances/hm3.mod ;;1;nan
Instances/hm4.mod ;;2;nan
Instances/hm5.mod ;;3;nan
Instances/hm.mod ;;2;nan
Instances/hsk.mod ;;2;nan
Instances/hv.mod ;;3;nan
Instances/ir0.mod ;;4;nan
Instances/ir1.mod ;;3;nan
Instances/ir2.mod ;;2;nan
Instances/ir3.mod ;;5;nan
Instances/ir4.mod ;option randseed 305012346;
;30;nan
Instances/ir5.mod ;;2;nan
Instances/kl.mod ;;4;nan
Instances/ks.mod ;;1;nan
Instances/lm1.mod ;;3;nan
Instances/lm2_10.mod ;;10;nan
Instances/lm2_5.mod ;;5;nan
Instances/lv8.mod ;;3;nan
Instances/mc.mod ;;2;nan
Instances/mcp.mod ;;4;nan
Instances/mgp.mod ;;2;nan
Instances/mgw_10.mod ;;10;nan
Instances/mgw_20.mod ;;20;nan
Instances/mgw_2.mod ;;2;nan
Instances/ml_10.mod ;;10;nan
Instances/ml_5.mod ;;5;nan
Instances/mr.mod ;;3;nan
Instances/mrp.mod ;;2;nan
Instances/nf2.mod ;;4;nan
Instances/nf3_10.mod ;;10;nan
Instances/nf3_15.mod ;;15;nan
Instances/nf3_20.mod ;;20;nan
Instances/nf3_25.mod ;;25;nan
Instances/nf3_30.mod ;;30;nan
Instances/osp_10.mod ;;10;nan
Instances/osp_20.mod ;;20;nan
Instances/prd.mod ;;2;nan
Instances/ptm.mod ;;9;nan
Instances/pwq.mod ;;4;nan
Instances/rb.mod ;;10;nan
Instances/rg_10.mod ;;10;nan
Instances/rg_2.mod ;;2;nan
Instances/s10.mod ;;4;nan
Instances/s5.mod ;;4;nan
Instances/s7.mod ;;4;nan
Instances/sal_10.mod ;;10;nan
Instances/sal_5.mod ;;5;nan
Instances/sbt.mod ;;2;nan
Instances/sf1.mod ;;2;nan
Instances/shv1.mod ;;1;nan
Instances/shv2.mod ;;2;nan
Instances/sin_10.mod ;;10;nan
Instances/sin_20.mod ;;20;nan
Instances/st_17.mod ;;17;nan
Instances/st_9.mod ;;9;nan
Instances/stg.mod ;;1;nan
Instances/swf.mod ;;10;nan
Instances/sz.mod ;;1;nan
Instances/szzs.mod ;;1;nan
Instances/wf.mod ;;4;nan
Instances/xor.mod ;;9;nan
Instances/zkv_10.mod ;;10;nan
Instances/zkv_20.mod ;;20;nan
Instances/zkv_2.mod ;;2;nan
Instances/zkv_5.mod ;;5;nan
Instances/zlk1.mod ;;1;nan
Instances/zlk2a.mod ;;1;nan
Instances/zlk2b.mod ;;1;nan
Instances/zlk3a.mod ;;1;nan
Instances/zlk3b.mod ;;1;nan
Instances/zlk3c.mod ;;1;nan
Instances/zlk4.mod ;;2;nan
Instances/zlk5.mod ;;3;nan
Instances/zzs.mod ;;1;nan
