FUNCAO;DIMENSAO;MEDIA
Instances/ack.mod ;;10;1.279241932
Instances/ap.mod ;;2;-0.3523860738
Instances/bf1.mod ;;2;0
Instances/bf2.mod ;;2;0
Instances/bhs.mod ;;2;-3.42148784
Instances/bl.mod ;;2;7.557059063e-09
Instances/bp.mod ;;2;0.3978873989
Instances/cb3.mod ;;2;0.009633498137
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-23281.52318
Instances/em_10.mod ;;10;-5.000308352
Instances/em_5.mod ;;5;-3.177538831
Instances/ep.mod ;;2;-1
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;9.353788349
Instances/fx_10.mod ;;10;-1.108076197
Instances/fx_5.mod ;;5;-2.608326237
Instances/gp.mod ;;2;3
Instances/gw.mod ;;10;0.3664749758
Instances/h3.mod ;;3;-3.862742739
Instances/h6.mod ;;6;-3.226367568
Instances/hm1.mod ;;1;4.841552073e-10
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;2.356391538e-11
Instances/hm5.mod ;;3;2.624093867e-12
Instances/hm.mod ;;2;4.651021207e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;0.004070252399
Instances/ir0.mod ;;4;102548.2931
Instances/ir1.mod ;;3;7.185084369e-17
Instances/ir2.mod ;;2;0.007692208502
Instances/ir3.mod ;;5;0
Instances/ir4.mod ;option randseed 439209192;
;30;0.8109068455
Instances/ir5.mod ;;2;0.00199847703
Instances/kl.mod ;;4;0.0003447088965
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;3.100336719e-05
Instances/lm2_10.mod ;;10;0.1342952143
Instances/lm2_5.mod ;;5;0.01605486508
Instances/lv8.mod ;;3;1.950067862e-09
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;1.679003156e-05
Instances/mgp.mod ;;2;1.773224949e-09
Instances/mgw_10.mod ;;10;0.05511304184
Instances/mgw_20.mod ;;20;0.1178104998
Instances/mgw_2.mod ;;2;0.009332031825
Instances/ml_10.mod ;;10;-0.05473736419
Instances/ml_5.mod ;;5;-0.5124226622
Instances/mr.mod ;;3;0.01410909642
Instances/mrp.mod ;;2;0.003909499162
Instances/nf2.mod ;;4;0.1424078062
Instances/nf3_10.mod ;;10;-99.91867801
Instances/nf3_15.mod ;;15;1227.076577
Instances/nf3_20.mod ;;20;10824.3836
Instances/nf3_25.mod ;;25;54377.56827
Instances/nf3_30.mod ;;30;221100.1978
Instances/osp_10.mod ;;10;-5.258804693e-05
Instances/osp_20.mod ;;20;-2.820715089e-10
Instances/prd.mod ;;2;0.9483869478
Instances/ptm.mod ;;9;226.4405219
Instances/pwq.mod ;;4;4.611127339
Instances/rb.mod ;;10;2393.346582
Instances/rg_10.mod ;;10;27.39816086
Instances/rg_2.mod ;;2;0.3212615106
Instances/s10.mod ;;4;-5.246367694
Instances/s5.mod ;;4;-6.680977817
Instances/s7.mod ;;4;-6.456240474
Instances/sal_10.mod ;;10;1.183745013
Instances/sal_5.mod ;;5;0.2472694254
Instances/sbt.mod ;;2;-186.7309088
Instances/sf1.mod ;;2;0.006190410845
Instances/shv1.mod ;;1;-1
Instances/shv2.mod ;;2;-1.660319629e-15
Instances/sin_10.mod ;;10;-3.333164248
Instances/sin_20.mod ;;20;-1.987984045
Instances/st_17.mod ;;17;238164742.3
Instances/st_9.mod ;;9;6874.504796
Instances/stg.mod ;;1;0
Instances/swf.mod ;;10;-2740.005602
Instances/sz.mod ;;1;-12.03124944
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;5.464382562
Instances/xor.mod ;;9;0.8811903046
Instances/zkv_10.mod ;;10;22.32618154
Instances/zkv_20.mod ;;20;234.2389977
Instances/zkv_2.mod ;;2;1.017326366e-23
Instances/zkv_5.mod ;;5;0.02819029708
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.125
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-1
Instances/zlk3b.mod ;;1;-1
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.3978877691
Instances/zlk5.mod ;;3;-3.862742739
Instances/zzs.mod ;;1;-0.8242393985
